subject_id,video_id,exercise,rep_number,role,correctness_label,start_flexion_val,start_flexion_base_mean,start_flexion_base_sd_desc,start_flexion_noise_floor,start_flexion_delta,start_flexion_status,peak_flexion_val,peak_flexion_base_mean,peak_flexion_base_sd_desc,peak_flexion_noise_floor,peak_flexion_delta,peak_flexion_status,rom_val,rom_base_mean,rom_base_sd_desc,rom_noise_floor,rom_delta,rom_status,velocity_val,velocity_base_mean,velocity_base_sd_desc,velocity_noise_floor,velocity_delta,velocity_status
8,PM_113,Squat,1,Baseline,1,1.6995,1.5229,0.2497,19.0522,0.1766,WITHIN-NOISE,68.588,72.9766,6.2064,11.9885,4.3886,WITHIN-NOISE,109.7124,105.5005,5.9566,23.1666,4.212,WITHIN-NOISE,58.608,49.935,12.2655,40.8615,8.673,WITHIN-NOISE
8,PM_113,Squat,2,Baseline,1,1.3464,1.5229,0.2497,19.0522,0.1766,WITHIN-NOISE,77.3652,72.9766,6.2064,11.9885,4.3886,WITHIN-NOISE,101.2885,105.5005,5.9566,23.1666,4.212,WITHIN-NOISE,41.262,49.935,12.2655,40.8615,8.673,WITHIN-NOISE
8,PM_113,Squat,3,Quiet-Test,1,0.607,1.5229,0.2497,19.0522,0.9159,WITHIN-NOISE,70.9322,72.9766,6.2064,11.9885,2.0444,WITHIN-NOISE,108.4607,105.5005,5.9566,23.1666,2.9603,WITHIN-NOISE,35.064,49.935,12.2655,40.8615,14.871,WITHIN-NOISE
8,PM_113,Squat,4,Quiet-Test,1,0.9901,1.5229,0.2497,19.0522,0.5328,WITHIN-NOISE,65.4608,72.9766,6.2064,11.9885,7.5158,WITHIN-NOISE,113.5491,105.5005,5.9566,23.1666,8.0486,WITHIN-NOISE,48.594,49.935,12.2655,40.8615,1.341,WITHIN-NOISE
8,PM_113,Squat,5,Quiet-Test,1,1.885,1.5229,0.2497,19.0522,0.362,WITHIN-NOISE,63.7153,72.9766,6.2064,11.9885,9.2613,WITHIN-NOISE,114.3997,105.5005,5.9566,23.1666,8.8992,WITHIN-NOISE,41.637,49.935,12.2655,40.8615,8.298,WITHIN-NOISE
8,PM_113,Squat,6,Firing-Test,0,0.2827,1.5229,0.2497,19.0522,1.2402,WITHIN-NOISE,43.2178,72.9766,6.2064,11.9885,29.7588,DEVIATION DETECTED,136.4995,105.5005,5.9566,23.1666,30.9991,DEVIATION DETECTED,110.616,49.935,12.2655,40.8615,60.681,DEVIATION DETECTED
8,PM_113,Squat,7,Firing-Test,0,0.4106,1.5229,0.2497,19.0522,1.1124,WITHIN-NOISE,49.7473,72.9766,6.2064,11.9885,23.2293,DEVIATION DETECTED,129.8422,105.5005,5.9566,23.1666,24.3417,DEVIATION DETECTED,62.826,49.935,12.2655,40.8615,12.891,WITHIN-NOISE
8,PM_113,Squat,8,Firing-Test,0,6.376,1.5229,0.2497,19.0522,4.8531,WITHIN-NOISE,41.0973,72.9766,6.2064,11.9885,31.8793,DEVIATION DETECTED,132.5268,105.5005,5.9566,23.1666,27.0264,DEVIATION DETECTED,59.823,49.935,12.2655,40.8615,9.888,WITHIN-NOISE
8,PM_113,Squat,9,Firing-Test,0,0.1563,1.5229,0.2497,19.0522,1.3667,WITHIN-NOISE,38.9144,72.9766,6.2064,11.9885,34.0622,DEVIATION DETECTED,140.9293,105.5005,5.9566,23.1666,35.4289,DEVIATION DETECTED,70.356,49.935,12.2655,40.8615,20.421,WITHIN-NOISE
8,PM_113,Squat,10,Firing-Test,0,0.4812,1.5229,0.2497,19.0522,1.0417,WITHIN-NOISE,37.3152,72.9766,6.2064,11.9885,35.6614,DEVIATION DETECTED,142.2036,105.5005,5.9566,23.1666,36.7031,DEVIATION DETECTED,72.12,49.935,12.2655,40.8615,22.185,WITHIN-NOISE
6,PM_104,Lunge,1,Baseline,1,17.5773,18.5556,1.3835,19.0522,0.9783,WITHIN-NOISE,87.8982,84.6637,4.5742,11.9885,3.2345,WITHIN-NOISE,74.5246,76.7807,3.1906,23.1666,2.2561,WITHIN-NOISE,25.842,32.6805,9.6711,40.8615,6.8385,WITHIN-NOISE
6,PM_104,Lunge,2,Baseline,1,19.5339,18.5556,1.3835,19.0522,0.9783,WITHIN-NOISE,81.4293,84.6637,4.5742,11.9885,3.2344,WITHIN-NOISE,79.0368,76.7807,3.1906,23.1666,2.2561,WITHIN-NOISE,39.519,32.6805,9.6711,40.8615,6.8385,WITHIN-NOISE
6,PM_104,Lunge,3,Quiet-Test,1,22.1993,18.5556,1.3835,19.0522,3.6437,WITHIN-NOISE,86.0091,84.6637,4.5742,11.9885,1.3454,WITHIN-NOISE,71.7917,76.7807,3.1906,23.1666,4.989,WITHIN-NOISE,32.424,32.6805,9.6711,40.8615,0.2565,WITHIN-NOISE
6,PM_104,Lunge,4,Quiet-Test,1,25.2392,18.5556,1.3835,19.0522,6.6836,WITHIN-NOISE,80.6469,84.6637,4.5742,11.9885,4.0168,WITHIN-NOISE,74.1139,76.7807,3.1906,23.1666,2.6668,WITHIN-NOISE,42.759,32.6805,9.6711,40.8615,10.0785,WITHIN-NOISE
6,PM_104,Lunge,5,Quiet-Test,1,16.1843,18.5556,1.3835,19.0522,2.3713,WITHIN-NOISE,91.4346,84.6637,4.5742,11.9885,6.7709,WITHIN-NOISE,72.3811,76.7807,3.1906,23.1666,4.3996,WITHIN-NOISE,35.076,32.6805,9.6711,40.8615,2.3955,WITHIN-NOISE
6,PM_104,Lunge,6,Firing-Test,0,3.6009,18.5556,1.3835,19.0522,14.9547,WITHIN-NOISE,59.1212,84.6637,4.5742,11.9885,25.5425,DEVIATION DETECTED,117.2779,76.7807,3.1906,23.1666,40.4972,DEVIATION DETECTED,59.958,32.6805,9.6711,40.8615,27.2775,WITHIN-NOISE
6,PM_104,Lunge,7,Firing-Test,0,0.7951,18.5556,1.3835,19.0522,17.7605,WITHIN-NOISE,61.6801,84.6637,4.5742,11.9885,22.9836,DEVIATION DETECTED,117.5248,76.7807,3.1906,23.1666,40.7441,DEVIATION DETECTED,63.468,32.6805,9.6711,40.8615,30.7875,WITHIN-NOISE
6,PM_104,Lunge,8,Firing-Test,0,8.6512,18.5556,1.3835,19.0522,9.9044,WITHIN-NOISE,63.7548,84.6637,4.5742,11.9885,20.9089,DEVIATION DETECTED,107.594,76.7807,3.1906,23.1666,30.8133,DEVIATION DETECTED,58.887,32.6805,9.6711,40.8615,26.2065,WITHIN-NOISE
6,PM_104,Lunge,9,Firing-Test,0,3.3554,18.5556,1.3835,19.0522,15.2002,WITHIN-NOISE,56.9816,84.6637,4.5742,11.9885,27.6821,DEVIATION DETECTED,119.663,76.7807,3.1906,23.1666,42.8823,DEVIATION DETECTED,41.412,32.6805,9.6711,40.8615,8.7315,WITHIN-NOISE
6,PM_104,Lunge,10,Firing-Test,0,5.5202,18.5556,1.3835,19.0522,13.0354,WITHIN-NOISE,52.6861,84.6637,4.5742,11.9885,31.9776,DEVIATION DETECTED,121.7937,76.7807,3.1906,23.1666,45.013,DEVIATION DETECTED,60.483,32.6805,9.6711,40.8615,27.8025,WITHIN-NOISE
