frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,,,,chain_incomplete
1,2,,,,chain_incomplete
2,3,172.7071,172.7071,172.9868,computed
3,4,,,,chain_incomplete
4,5,,,,chain_incomplete
5,6,173.5619,172.9053,172.4771,computed
6,7,172.9053,171.1789,171.0579,computed
7,8,166.8455,169.4526,169.1709,computed
8,9,169.4526,166.8455,167.7834,computed
9,10,166.1175,166.8455,167.008,computed
10,11,166.4665,167.65,166.7436,computed
11,12,171.0804,166.4665,166.9587,computed
12,13,167.65,166.5615,167.2247,computed
13,14,165.4662,166.5615,165.9844,computed
14,15,166.5615,165.4662,163.7332,computed
15,16,159.0189,159.0189,160.5102,computed
16,17,156.7903,156.7903,157.4071,computed
17,18,155.2358,155.2358,154.7985,computed
18,19,154.1125,154.1125,153.7769,computed
19,20,151.0555,151.5626,151.9978,computed
20,21,151.5626,151.0555,150.3004,computed
21,22,147.8811,147.8811,148.7013,computed
22,23,145.7741,147.8811,147.7254,computed
23,24,141.9919,146.626,146.5823,computed
24,25,161.8985,146.2,145.8076,computed
25,26,146.626,144.3089,144.6385,computed
26,27,,,,chain_incomplete
27,28,141.3441,142.79,142.7959,computed
28,29,143.7118,141.8682,142.1602,computed
29,30,141.8682,141.6062,140.7994,computed
30,31,,,,chain_incomplete
31,32,140.8011,137.0616,137.9593,computed
32,33,133.0922,137.0616,138.2604,computed
33,34,133.322,140.8011,139.6704,computed
34,35,142.0718,142.0718,141.5158,computed
35,36,155.8504,142.0718,143.0376,computed
36,37,143.0308,143.0308,142.5644,computed
37,38,135.6712,143.0308,142.2284,computed
38,39,151.048,139.351,141.2046,computed
39,40,131.4265,140.3226,138.1193,computed
40,41,,,,chain_incomplete
41,42,144.974,131.4265,135.0784,computed
42,43,,,,chain_incomplete
43,44,130.9507,138.9896,135.036,computed
44,45,137.074,134.535,136.079,computed
45,46,140.9052,131.9959,135.2921,computed
46,47,131.9959,137.074,133.467,computed
47,48,127.5154,131.9959,131.5639,computed
48,49,141.0132,127.5154,128.7015,computed
49,50,124.417,124.417,124.8123,computed
50,51,112.7288,124.417,122.9954,computed
51,52,110.9351,124.417,125.4488,computed
52,53,128.2724,128.2724,131.3199,computed
53,54,156.3678,142.1953,139.8558,computed
54,55,155.2421,148.7187,148.4153,computed
55,56,142.1953,155.2174,153.9771,computed
56,57,,,,chain_incomplete
57,58,155.1928,155.1928,156.2226,computed
58,59,156.0825,156.0825,155.2692,computed
59,60,,,,chain_incomplete
60,61,157.7683,151.4778,151.2979,computed
61,62,146.873,147.6878,148.5713,computed
62,63,145.1883,146.873,146.7214,computed
63,64,148.5027,145.1883,145.1571,computed
64,65,143.4741,144.3312,143.9187,computed
65,66,140.6111,142.0426,141.5758,computed
66,67,,,,chain_incomplete
67,68,138.2638,139.4375,141.5572,computed
68,69,,,,chain_incomplete
69,70,,,,chain_incomplete
70,71,146.177,158.7728,154.3353,computed
71,72,171.0315,152.4749,154.5458,computed
72,73,158.7728,150.8404,154.1842,computed
73,74,145.9438,155.2394,152.6227,computed
74,75,150.8404,155.2394,153.5944,computed
75,76,155.2394,150.8404,153.9565,computed
76,77,155.4809,155.2394,153.9566,computed
77,78,150.84,155.4809,155.7187,computed
78,79,158.0746,158.0746,158.2816,computed
79,80,160.4892,160.4892,159.6201,computed
80,81,160.8337,160.8337,161.2161,computed
81,82,166.6392,162.4839,162.5657,computed
82,83,164.1341,164.1341,164.3286,computed
83,84,,,,chain_incomplete
84,85,,,,chain_incomplete
85,86,,,,chain_incomplete
86,87,,,,chain_incomplete
87,88,177.9644,177.9644,177.1804,computed
88,89,,,,chain_incomplete
89,90,,,,chain_incomplete
90,91,,,,chain_incomplete
91,92,178.052,178.052,178.0457,computed
92,93,,,,chain_incomplete
93,94,,,,chain_incomplete
94,95,,,,chain_incomplete
95,96,,,,chain_incomplete
