frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,178.2523,178.4437,178.2293,computed
1,2,179.1419,178.348,178.4972,computed
2,3,178.4437,178.2523,178.4632,computed
3,4,177.2411,177.9514,178.1273,computed
4,5,177.5595,177.5595,177.7725,computed
5,6,177.9514,177.2411,176.5949,computed
6,7,174.8685,174.8685,174.9082,computed
7,8,171.7579,171.7579,172.2058,computed
8,9,169.6927,169.6927,169.2376,computed
9,10,165.4279,165.4279,165.6962,computed
10,11,163.119,163.119,162.7426,computed
11,12,158.2275,158.2275,159.3939,computed
12,13,157.7326,157.7326,156.3852,computed
13,14,152.465,152.465,153.2969,computed
14,15,149.8616,149.8616,149.6929,computed
15,16,146.1405,146.1405,145.2081,computed
16,17,140.2257,140.2257,141.1646,computed
17,18,137.2661,137.2661,137.2181,computed
18,19,133.9323,133.9323,134.4042,computed
19,20,130.0831,132.0077,131.9546,computed
20,21,128.868,129.4756,128.5554,computed
21,22,,,,chain_incomplete
22,23,119.4954,118.0289,117.7155,computed
23,24,116.5624,111.2884,111.7322,computed
24,25,106.0144,106.0144,106.6922,computed
25,26,99.7603,103.4374,103.29,computed
26,27,103.4374,99.7603,99.9587,computed
27,28,97.8916,97.8916,96.6745,computed
28,29,90.5515,90.5515,91.3259,computed
29,30,87.1426,87.1426,86.0575,computed
30,31,78.3297,78.3297,80.6236,computed
31,32,76.8089,76.8089,75.4374,computed
32,33,70.3297,70.3297,69.2923,computed
33,34,62.8912,62.8912,63.5792,computed
34,35,57.2156,57.2156,57.678,computed
35,36,53.8605,53.8605,54.5209,computed
36,37,52.8481,52.8481,52.9173,computed
37,38,40.3729,52.8481,51.302,computed
38,39,43.8135,49.5123,49.5523,computed
39,40,101.1126,46.6629,47.8469,computed
40,41,49.5123,46.948,46.8215,computed
41,42,,,,chain_incomplete
42,43,44.3836,47.772,47.6676,computed
43,44,,,,chain_incomplete
44,45,47.772,47.9053,47.4662,computed
45,46,48.0386,47.9053,47.7223,computed
46,47,52.8615,48.0386,49.4045,computed
47,48,45.2838,52.8615,53.0753,computed
48,49,57.694,57.694,57.1919,computed
49,50,64.2718,62.249,60.9173,computed
50,51,62.249,62.249,62.7181,computed
51,52,65.7303,64.2718,64.2786,computed
52,53,60.5507,65.7303,66.7651,computed
53,54,71.1692,71.1692,71.4194,computed
54,55,76.3975,76.3975,75.8913,computed
55,56,81.0663,81.0663,79.764,computed
56,57,81.3298,81.3298,81.9154,computed
57,58,85.7518,83.5579,84.1457,computed
58,59,83.5579,85.7518,86.3985,computed
59,60,90.4698,90.4698,89.1928,computed
60,61,91.0745,91.0745,90.5338,computed
61,62,92.57,92.57,92.9548,computed
62,63,93.4606,93.4606,96.3085,computed
63,64,102.5363,102.5363,100.5325,computed
64,65,105.3321,105.3321,104.0319,computed
65,66,105.7181,105.3321,105.9467,computed
66,67,109.1918,105.4428,105.8472,computed
67,68,102.346,105.7181,106.1944,computed
68,69,105.4428,107.4677,106.4723,computed
69,70,107.4677,107.4677,107.5678,computed
70,71,107.5715,107.5715,109.0424,computed
71,72,111.9241,111.9241,110.7587,computed
72,73,114.4344,112.8136,112.7787,computed
73,74,112.8136,114.4344,114.311,computed
74,75,119.8348,115.3084,115.3644,computed
75,76,115.3084,116.5994,117.4826,computed
76,77,116.5994,119.8348,119.634,computed
77,78,122.4026,122.4026,121.3029,computed
78,79,125.2312,122.4026,122.6948,computed
79,80,124.6354,122.4026,123.113,computed
80,81,121.6588,124.6354,124.0186,computed
81,82,121.6257,124.6354,125.4976,computed
82,83,127.559,127.559,126.3569,computed
83,84,127.807,127.6824,127.7606,computed
84,85,127.6824,127.807,129.5535,computed
85,86,132.9233,132.9233,131.3397,computed
86,87,133.2032,133.2032,133.313,computed
87,88,135.3382,135.3382,135.4989,computed
88,89,136.1672,136.1672,136.5863,computed
89,90,139.4878,139.4878,138.5728,computed
90,91,139.8661,139.8661,140.7415,computed
91,92,143.5872,143.5872,143.7086,computed
92,93,146.4776,146.4776,146.0615,computed
93,94,149.5992,149.5992,148.8686,computed
94,95,150.1092,150.1092,151.2943,computed
95,96,154.06,154.06,153.6545,computed
96,97,156.8425,156.8425,156.5818,computed
97,98,159.1623,159.1623,159.8632,computed
98,99,163.3579,163.3579,162.5899,computed
99,100,165.1078,165.1078,165.0629,computed
100,101,167.7481,167.7481,168.1077,computed
101,102,170.1946,170.1946,170.9453,computed
102,103,175.228,175.228,174.2501,computed
103,104,176.6115,176.6115,176.8415,computed
104,105,179.8417,178.9044,178.6071,computed
105,106,178.961,178.961,179.203,computed
106,107,178.9044,179.6875,179.659,computed
107,108,179.9276,179.6875,179.93,computed
108,109,179.6875,179.7287,179.8965,computed
109,110,179.7699,179.7699,179.5585,computed
