frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,177.8065,177.8065,177.455,computed
1,2,177.9378,176.5672,177.4177,computed
2,3,175.3279,176.5672,176.4171,computed
3,4,174.1397,175.3279,174.4531,computed
4,5,,,,chain_incomplete
5,6,,,,chain_incomplete
6,7,167.573,163.0438,163.838,computed
7,8,163.0438,161.5006,161.6899,computed
8,9,159.9573,159.9573,159.9058,computed
9,10,157.7294,157.7294,156.6614,computed
10,11,152.5799,152.5799,152.0174,computed
11,12,144.8269,144.8269,146.1018,computed
12,13,141.1667,141.1667,140.5583,computed
13,14,135.7008,135.7008,136.5726,computed
14,15,134.2532,134.2532,134.6178,computed
15,16,130.3478,132.3245,132.0748,computed
16,17,132.3245,130.3478,128.5037,computed
17,18,122.9199,122.9199,123.2779,computed
18,19,116.9175,116.9175,118.1323,computed
19,20,113.7172,113.7172,114.8018,computed
20,21,112.4067,112.4067,111.6757,computed
21,22,110.5407,110.5407,107.3646,computed
22,23,92.933,100.4075,102.9163,computed
23,24,100.4075,96.6703,98.4272,computed
24,25,87.6405,96.6703,94.3097,computed
25,26,,,,chain_incomplete
26,27,102.7559,88.0019,89.4934,computed
27,28,88.3634,87.1867,86.6269,computed
28,29,84.2158,87.1867,86.136,computed
29,30,86.01,86.01,88.032,computed
30,31,,,,chain_incomplete
31,32,,,,chain_incomplete
32,33,,,,chain_incomplete
33,34,96.0966,109.9132,110.0526,computed
34,35,109.9132,116.645,116.9525,computed
35,36,123.3767,123.3767,123.834,computed
36,37,130.9124,130.9124,129.8585,computed
37,38,134.4391,134.4391,134.027,computed
38,39,136.8248,136.8248,136.7641,computed
39,40,138.4179,138.4179,139.3854,computed
40,41,142.5122,142.5122,142.7551,computed
41,42,148.1946,148.1946,147.2915,computed
42,43,151.9653,151.9653,152.8908,computed
43,44,158.4476,158.4476,158.3901,computed
44,45,164.0259,164.0259,163.1921,computed
45,46,167.8407,167.8407,168.1587,computed
46,47,170.9852,170.9852,171.6865,computed
47,48,175.67,175.67,174.528,computed
48,49,179.9992,176.0203,176.7829,computed
49,50,176.0203,177.894,177.6607,computed
50,51,178.7438,177.894,177.1922,computed
51,52,177.894,176.0203,176.6468,computed
52,53,175.4845,175.4845,176.2341,computed
53,54,173.9993,175.4415,175.6519,computed
54,55,175.3985,175.3985,174.9001,computed
