frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,,,,chain_incomplete
1,2,,,,chain_incomplete
2,3,,,,chain_incomplete
3,4,172.0258,169.5317,169.469,computed
4,5,169.5317,169.2147,169.387,computed
5,6,168.8977,168.8977,169.2691,computed
6,7,168.2877,168.2877,167.7024,computed
7,8,166.1737,166.1737,165.0663,computed
8,9,160.3495,160.3495,161.5788,computed
9,10,158.1604,158.1604,158.0986,computed
10,11,155.6963,155.6963,155.8091,computed
11,12,154.0431,154.7266,155.1836,computed
12,13,154.7266,154.7266,154.3528,computed
13,14,149.5416,154.0431,153.4914,computed
14,15,176.8195,151.3397,152.5417,computed
15,16,151.3397,149.5416,148.8456,computed
16,17,146.3956,146.3956,143.7249,computed
17,18,135.7123,135.7123,138.5217,computed
18,19,133.6291,133.6291,134.9327,computed
19,20,132.445,132.445,132.3147,computed
20,21,132.2293,132.2293,128.908,computed
21,22,123.7766,123.7766,123.4869,computed
22,23,114.6638,114.6664,118.1661,computed
23,24,114.6664,114.6638,114.9291,computed
24,25,113.2982,114.3267,112.8302,computed
25,26,114.3267,113.2982,111.2745,computed
26,27,100.654,104.9296,107.5921,computed
27,28,100.0277,104.9296,104.5305,computed
28,29,104.9296,100.654,100.6957,computed
29,30,120.5862,100.0277,97.7961,computed
30,31,92.0958,92.0958,94.8381,computed
31,32,87.1005,92.0958,92.033,computed
32,33,83.8135,92.0958,89.7468,computed
33,34,107.8823,87.1005,89.2659,computed
34,35,95.0711,88.6015,88.339,computed
35,36,84.0798,88.6015,86.9222,computed
36,37,88.6015,88.6015,88.0594,computed
37,38,85.404,88.6015,92.6913,computed
38,39,100.4882,100.4882,101.1537,computed
39,40,113.6245,113.6245,110.1299,computed
40,41,118.8534,118.8534,117.5864,computed
41,42,121.9271,118.8534,120.7685,computed
42,43,125.8847,121.9271,121.7929,computed
43,44,114.1301,123.7844,123.3356,computed
44,45,123.7844,125.8847,126.5468,computed
45,46,129.3151,129.3151,129.983,computed
46,47,135.0564,135.0564,132.9835,computed
47,48,137.7753,137.7753,138.4326,computed
48,49,141.0169,141.0169,144.7616,computed
49,50,178.5384,154.2096,150.6556,computed
50,51,154.2096,156.2933,155.5864,computed
51,52,157.2676,157.2266,157.5227,computed
52,53,156.2933,157.2266,157.4261,computed
53,54,157.2266,157.2676,159.134,computed
54,55,163.0631,163.0631,161.9857,computed
55,56,165.6265,165.6265,165.2976,computed
56,57,168.3854,168.3854,168.085,computed
57,58,169.7452,169.7452,170.2181,computed
58,59,171.7059,171.7059,172.2732,computed
59,60,175.6546,175.4572,174.4272,computed
60,61,175.4572,175.6546,176.4262,computed
61,62,178.1424,178.1424,177.9679,computed
62,63,178.194,178.1424,177.9067,computed
63,64,178.5595,178.1424,177.3139,computed
64,65,174.9199,174.9199,176.591,computed
65,66,174.5376,174.7368,175.3749,computed
66,67,174.5538,174.5538,173.6656,computed
