frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,,,,no_pose_detected
1,2,,,,no_pose_detected
2,3,,,,no_pose_detected
3,4,,,,no_pose_detected
4,5,,,,no_pose_detected
5,6,178.0555,175.4262,174.7995,computed
6,7,,,,no_pose_detected
7,8,172.7968,170.5566,170.52,computed
8,9,165.0885,167.3979,168.1111,computed
9,10,168.3165,166.4793,166.7279,computed
10,11,166.4793,165.0885,164.8697,computed
11,12,160.5759,163.5276,162.2484,computed
12,13,153.6983,157.629,158.7602,computed
13,14,,,,no_pose_detected
14,15,154.6822,149.7366,148.2893,computed
15,16,145.7748,142.1086,143.6114,computed
16,17,138.4424,138.4424,138.2352,computed
17,18,129.3831,134.9938,133.5198,computed
18,19,134.9938,129.3831,131.1691,computed
19,20,126.9798,129.3831,130.0268,computed
20,21,123.2547,131.4979,130.2586,computed
21,22,138.7242,131.4979,131.7521,computed
22,23,131.4979,131.4979,131.196,computed
23,24,138.3404,131.4979,130.3475,computed
24,25,116.7112,127.7717,130.1186,computed
25,26,124.0455,131.193,129.5942,computed
26,27,,,,chain_incomplete
27,28,141.3319,132.6887,135.8929,computed
28,29,145.6394,142.3553,138.8952,computed
29,30,112.1605,143.3787,142.8384,computed
30,31,143.3787,144.509,147.0832,computed
31,32,165.2624,151.5276,151.3735,computed
32,33,,,,chain_incomplete
33,34,159.6765,162.4694,160.881,computed
34,35,,,,chain_incomplete
35,36,,,,chain_incomplete
36,37,,,,chain_incomplete
37,38,,,,chain_incomplete
38,39,,,,chain_incomplete
39,40,,,,chain_incomplete
40,41,159.5161,158.2381,158.7619,computed
41,42,,,,chain_incomplete
42,43,156.9601,157.7076,156.4465,computed
43,44,158.4551,152.9602,153.4138,computed
44,45,148.9602,148.9602,149.7402,computed
45,46,139.3037,144.0423,143.285,computed
46,47,127.6403,139.3037,137.5866,computed
47,48,144.0423,127.6403,130.9164,computed
48,49,112.1286,127.6403,124.4042,computed
49,50,117.0192,119.8918,121.6259,computed
50,51,140.4132,119.8918,123.0864,computed
51,52,119.8918,127.8439,124.6885,computed
52,53,129.0687,129.0687,128.0485,computed
53,54,127.8439,127.8439,129.4383,computed
54,55,136.4019,129.0687,128.4036,computed
55,56,126.4039,127.8439,127.576,computed
56,57,131.4881,126.4039,126.9005,computed
57,58,123.8522,125.9309,126.0346,computed
58,59,123.7721,125.9171,125.7944,computed
59,60,125.9309,125.9171,125.6186,computed
60,61,125.9171,125.9309,125.9392,computed
61,62,128.8566,126.0706,127.0345,computed
62,63,131.1842,128.8566,128.5653,computed
63,64,126.0706,130.589,129.7943,computed
64,65,130.626,130.589,130.5761,computed
65,66,130.589,129.9038,130.3982,computed
66,67,126.844,130.589,130.2084,computed
67,68,129.9038,130.589,130.7492,computed
68,69,131.9261,131.9261,132.4749,computed
69,70,137.1456,134.5358,134.6457,computed
70,71,138.4765,137.811,136.7569,computed
71,72,,,,no_pose_detected
72,73,139.8399,139.8399,140.6584,computed
73,74,143.5348,143.5348,144.7695,computed
74,75,,,,no_pose_detected
75,76,157.1777,157.7558,156.33,computed
76,77,158.334,160.8082,160.8799,computed
77,78,165.4274,163.2824,163.6163,computed
78,79,163.2824,165.4274,165.3992,computed
79,80,169.1312,167.2793,167.317,computed
80,81,170.3796,169.1312,169.2048,computed
81,82,,,,no_pose_detected
82,83,,,,no_pose_detected
83,84,,,,no_pose_detected
84,85,,,,no_pose_detected
85,86,179.5214,179.1895,178.5644,computed
86,87,,,,no_pose_detected
87,88,178.8576,178.8576,179.1797,computed
88,89,178.5876,178.7226,178.5597,computed
