frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,177.1218,177.1218,177.425,computed
1,2,176.916,177.0189,176.8882,computed
2,3,177.2316,176.916,175.9402,computed
3,4,174.0786,174.0786,174.5807,computed
4,5,171.7018,171.7018,172.5844,computed
5,6,171.6123,171.6123,170.1962,computed
6,7,167.8562,167.8562,168.5128,computed
7,8,165.5061,166.0317,166.7371,computed
8,9,166.0317,165.5061,164.8278,computed
9,10,162.7775,162.7775,162.5736,computed
10,11,160.3408,160.3408,160.407,computed
11,12,155.6902,155.6902,156.6351,computed
12,13,154.9662,154.9662,152.562,computed
13,14,146.9996,146.9996,148.6394,computed
14,15,145.328,145.328,145.9486,computed
15,16,144.276,144.276,143.92,computed
16,17,142.9329,144.276,144.3962,computed
17,18,143.1875,143.1875,143.1307,computed
18,19,145.1194,142.9329,141.1274,computed
19,20,136.5885,136.5885,138.9667,computed
20,21,133.7127,135.8796,135.8082,computed
21,22,135.8796,133.7127,131.3563,computed
22,23,126.4214,126.4214,127.4435,computed
23,24,121.3396,121.3396,122.6275,computed
24,25,119.6158,119.6158,118.6728,computed
25,26,116.1297,116.1297,116.7248,computed
26,27,112.0609,114.0953,114.4021,computed
27,28,110.1563,112.0609,110.6739,computed
28,29,,,,chain_incomplete
29,30,,,,chain_incomplete
30,31,92.8459,92.8459,98.8582,computed
31,32,,,,chain_incomplete
32,33,,,,chain_incomplete
33,34,115.4658,136.7597,129.3984,computed
34,35,138.3187,126.1128,133.5309,computed
35,36,136.7597,135.3208,135.4491,computed
36,37,87.0849,136.0403,134.6536,computed
37,38,135.3208,135.3208,133.1303,computed
38,39,,,,no_pose_detected
39,40,,,,no_pose_detected
40,41,93.5086,100.954,105.5108,computed
41,42,100.954,106.8376,103.7302,computed
42,43,115.1799,106.8376,107.3677,computed
43,44,112.7212,113.9506,115.9374,computed
44,45,,,,no_pose_detected
45,46,154.6334,133.6773,130.4772,computed
46,47,,,,chain_incomplete
47,48,,,,no_pose_detected
48,49,143.2927,132.4165,132.8887,computed
49,50,132.4165,127.5974,126.6718,computed
50,51,122.7784,122.7784,117.0377,computed
51,52,99.8054,99.8054,106.4669,computed
52,53,97.8282,97.8282,98.3686,computed
53,54,81.5058,95.5672,93.034,computed
54,55,92.4654,95.5672,96.0413,computed
55,56,95.5672,95.5672,99.4652,computed
56,57,108.0952,108.0952,103.9722,computed
57,58,108.5343,108.5343,107.8086,computed
58,59,109.4123,109.4123,110.8881,computed
59,60,110.832,110.832,111.3305,computed
60,61,114.4336,114.4336,113.4346,computed
61,62,114.9428,114.9428,115.511,computed
62,63,117.5995,117.5995,117.4983,computed
63,64,120.5125,118.7621,118.7397,computed
64,65,118.7621,120.5125,120.1001,computed
65,66,122.0689,120.5679,121.1354,computed
66,67,125.2215,122.0689,122.2015,computed
67,68,120.5679,123.2924,122.7878,computed
68,69,123.2924,123.2924,123.1634,computed
69,70,124.56,122.6512,122.9815,computed
70,71,122.6512,122.6512,122.6769,computed
71,72,119.2209,122.6512,122.5925,computed
72,73,118.2838,122.6512,122.668,computed
73,74,122.8577,122.7017,122.6849,computed
74,75,122.7017,122.7017,122.6956,computed
75,76,124.6555,122.7017,122.8261,computed
76,77,121.2969,122.7017,122.538,computed
77,78,119.945,122.7404,122.136,computed
78,79,122.7404,121.5039,122.1086,computed
79,80,125.2415,122.7404,123.3929,computed
80,81,121.5039,125.2415,125.4102,computed
81,82,141.5536,128.7786,127.9494,computed
82,83,139.5215,128.7786,128.7139,computed
83,84,128.7786,128.7786,127.8657,computed
84,85,121.11,125.0911,126.1352,computed
85,86,124.6592,124.6592,124.6892,computed
86,87,125.0911,124.6592,124.5824,computed
87,88,124.1433,125.0911,125.9948,computed
88,89,128.8221,128.3477,127.1014,computed
89,90,129.025,128.8221,128.7717,computed
90,91,128.3477,129.025,130.1606,computed
91,92,133.9632,132.2589,131.2633,computed
92,93,134.3239,132.2589,132.6707,computed
93,94,132.2589,133.9632,133.5756,computed
94,95,132.0195,134.3239,134.3306,computed
95,96,134.7317,134.7317,135.5689,computed
96,97,138.1809,137.5365,136.6993,computed
97,98,137.5365,138.1809,138.4001,computed
98,99,139.6263,139.6263,139.9461,computed
99,100,141.735,141.735,141.1125,computed
100,101,142.2966,142.2966,142.4508,computed
101,102,144.0233,144.0233,144.416,computed
102,103,145.9299,145.9299,145.7635,computed
103,104,149.7327,149.7327,148.9323,computed
104,105,149.9688,149.9688,152.576,computed
105,106,158.1687,158.1687,156.0557,computed
106,107,158.9624,158.9624,158.4641,computed
107,108,160.2623,159.8625,160.3504,computed
108,109,159.8625,160.2623,160.5505,computed
109,110,162.203,162.203,162.0262,computed
110,111,164.1029,164.1029,164.6752,computed
111,112,167.7638,167.7638,168.0514,computed
112,113,172.0082,172.0082,171.202,computed
113,114,173.7138,173.7138,173.5766,computed
114,115,174.5798,174.5798,174.8202,computed
115,116,174.8369,174.6611,175.1021,computed
116,117,174.7424,174.7424,174.4222,computed
