frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,175.0224,172.8779,172.525,computed
1,2,172.8779,171.8531,172.0154,computed
2,3,170.8283,170.8283,171.4095,computed
3,4,169.8336,170.5187,170.7073,computed
4,5,170.5187,170.2913,170.2193,computed
5,6,170.2913,169.8336,169.44,computed
6,7,167.4,167.4,167.5378,computed
7,8,165.2632,165.2632,164.6009,computed
8,9,161.2163,161.2163,162.0162,computed
9,10,158.7865,158.7865,159.3485,computed
10,11,158.5992,158.5992,157.2781,computed
11,12,154.1361,154.4012,155.5328,computed
12,13,154.4012,154.1361,153.8058,computed
13,14,151.0056,151.0056,151.0086,computed
14,15,148.9873,148.9873,147.9619,computed
15,16,143.3287,143.3287,144.0201,computed
16,17,140.2947,140.2947,141.058,computed
17,18,138.104,138.104,138.4168,computed
18,19,136.8132,136.8132,135.1577,computed
19,20,131.9158,131.9158,131.6044,computed
20,21,125.1904,125.1904,127.438,computed
21,22,124.6483,124.6483,122.88,computed
22,23,119.704,119.704,119.6646,computed
23,24,116.4311,116.4311,118.0269,computed
24,25,116.2237,116.4198,116.7485,computed
25,26,116.4198,116.2237,114.4184,computed
26,27,112.715,112.715,111.4147,computed
27,28,103.5545,103.5545,106.295,computed
28,29,103.0682,103.0682,101.2376,computed
29,30,95.8648,96.7838,97.668,computed
30,31,94.8432,96.7838,97.1161,computed
31,32,96.7838,96.7838,97.5004,computed
32,33,110.856,100.5773,99.7688,computed
33,34,107.4772,101.6412,102.0388,computed
34,35,100.5773,101.6412,101.1054,computed
35,36,101.6412,100.5773,97.7221,computed
36,37,90.2503,90.2503,93.8671,computed
37,38,88.8732,90.2503,90.4488,computed
38,39,86.8848,88.8732,87.8696,computed
39,40,91.5709,86.8848,86.2838,computed
40,41,83.0865,83.0865,83.0062,computed
41,42,79.2584,79.2584,80.2038,computed
42,43,78.0083,78.0083,78.131,computed
43,44,76.6111,77.7388,77.4385,computed
44,45,77.7388,76.6111,76.7137,computed
45,46,72.1861,76.3065,75.3337,computed
46,47,73.1008,73.1008,73.7667,computed
47,48,76.3065,72.1861,72.6795,computed
48,49,70.4741,72.0832,71.8062,computed
49,50,71.0423,72.0832,71.966,computed
50,51,72.0832,71.0423,71.246,computed
51,52,75.1104,71.0423,69.9888,computed
52,53,64.3806,67.7668,68.6582,computed
53,54,67.5305,67.5305,67.6765,computed
54,55,67.7668,67.5305,67.1065,computed
55,56,66.0003,67.7668,68.0183,computed
56,57,68.817,68.817,69.3964,computed
57,58,72.7929,71.4638,70.8762,computed
58,59,71.4638,72.7587,72.2883,computed
59,60,72.7587,72.7929,72.5758,computed
60,61,74.7955,73.9591,73.7953,computed
61,62,73.9591,74.7955,77.5812,computed
62,63,83.4542,83.4542,82.1118,computed
63,64,89.6273,89.6273,87.7669,computed
64,65,90.2935,90.2935,92.2144,computed
65,66,96.77,96.77,95.3967,computed
66,67,96.775,96.775,97.7907,computed
67,68,110.0744,102.516,101.466,computed
68,69,102.516,102.9957,104.896,computed
69,70,102.9957,110.0744,109.1367,computed
70,71,114.8355,112.6978,110.9091,computed
71,72,112.6978,114.287,114.7917,computed
72,73,114.287,114.8355,118.8387,computed
73,74,134.321,127.2119,124.3445,computed
74,75,127.2119,130.2249,129.2153,computed
75,76,130.2249,132.9238,132.9928,computed
76,77,132.9238,132.9238,134.1172,computed
77,78,136.7856,136.7856,136.6389,computed
78,79,139.416,139.416,139.3893,computed
79,80,143.3806,143.3806,142.724,computed
80,81,145.2919,145.2919,146.1159,computed
81,82,149.2665,149.2665,149.4039,computed
82,83,153.5086,153.5086,152.5837,computed
83,84,154.8469,154.8469,155.5383,computed
84,85,158.0183,158.0183,157.6212,computed
85,86,159.0757,159.0757,159.2549,computed
86,87,160.6141,160.6141,160.6095,computed
87,88,161.838,161.7271,161.2716,computed
88,89,161.7271,161.838,162.3277,computed
89,90,163.0952,163.0952,163.5122,computed
90,91,165.287,165.287,164.768,computed
91,92,166.2348,166.2348,166.0757,computed
92,93,166.6588,166.6588,166.9627,computed
93,94,167.8656,167.4481,167.3864,computed
94,95,167.4481,167.8417,167.5395,computed
95,96,167.844,167.844,167.9388,computed
96,97,167.8417,167.844,168.5151,computed
97,98,169.6768,169.6768,169.1379,computed
98,99,170.1963,170.1824,169.743,computed
99,100,170.1824,170.1963,170.7891,computed
100,101,171.2191,171.2191,171.7488,computed
101,102,173.707,173.707,172.6144,computed
102,103,173.9674,173.8372,173.5189,computed
103,104,174.9746,173.9674,174.4623,computed
