frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,177.2396,178.7527,178.4442,computed
1,2,178.7527,178.64,179.2012,computed
2,3,179.0243,178.5272,178.9048,computed
3,4,178.5272,178.5272,177.5551,computed
4,5,175.4857,175.4857,175.0713,computed
5,6,170.5776,170.5776,171.2628,computed
6,7,167.6286,167.6286,167.6998,computed
7,8,163.8598,163.8598,164.7936,computed
8,9,163.1589,163.1589,161.9133,computed
9,10,158.6037,158.6037,158.6036,computed
10,11,153.8254,153.8254,154.151,computed
11,12,149.9599,149.9599,149.7156,computed
12,13,143.8294,143.8294,144.7527,computed
13,14,142.1168,142.1168,140.3463,computed
14,15,133.7326,133.7326,135.5959,computed
15,16,132.4629,132.4629,130.9577,computed
16,17,126.267,126.267,127.0538,computed
17,18,123.2313,123.2313,124.1716,computed
18,19,122.7563,122.7563,120.8659,computed
19,20,117.5689,117.5689,118.8838,computed
20,21,115.8925,115.8925,115.7551,computed
21,22,113.7325,113.7325,112.7539,computed
22,23,108.3365,108.3365,109.5505,computed
23,24,107.5069,107.5069,106.1555,computed
24,25,101.6918,101.6918,103.2717,computed
25,26,101.4233,101.4233,100.7967,computed
26,27,98.5676,98.5676,97.9762,computed
27,28,94.983,94.983,95.5507,computed
28,29,92.793,92.793,92.7705,computed
29,30,89.6752,89.6752,90.0217,computed
30,31,88.1958,88.1958,87.0344,computed
31,32,83.3819,83.3819,83.8376,computed
32,33,80.5818,80.5818,81.5051,computed
33,34,78.2062,79.0747,79.0039,computed
34,35,79.0747,78.2062,76.9658,computed
35,36,73.5308,73.5308,74.2568,computed
36,37,70.7578,70.7578,70.785,computed
37,38,67.0243,67.0243,66.7668,computed
38,39,63.1201,63.1201,62.8039,computed
39,40,58.9902,58.9902,59.5094,computed
40,41,51.5996,55.743,56.4712,computed
41,42,55.743,55.743,54.7538,computed
42,43,51.4081,51.5996,52.5595,computed
43,44,56.8031,51.4081,49.5323,computed
44,45,41.8371,44.6904,45.474,computed
45,46,44.6904,41.8371,42.2564,computed
46,47,39.3368,39.3368,39.4122,computed
47,48,37.5231,39.3368,38.9763,computed
48,49,38.7111,39.3368,39.5975,computed
49,50,42.005,42.005,42.2228,computed
50,51,45.5216,45.5216,45.8915,computed
51,52,51.3814,51.3814,50.4763,computed
52,53,54.9939,54.9939,55.5534,computed
53,54,59.7833,59.7833,59.7723,computed
54,55,66.0283,64.7257,63.4709,computed
55,56,64.7257,66.0283,67.319,computed
56,57,71.3841,71.3841,71.4551,computed
57,58,75.7158,75.7158,75.7317,computed
58,59,80.8341,80.8341,80.3817,computed
59,60,83.3548,83.3548,83.2449,computed
60,61,85.9101,85.826,85.3005,computed
61,62,85.826,85.9101,86.8141,computed
62,63,88.7057,88.7057,88.8067,computed
63,64,91.1245,91.1245,90.8344,computed
64,65,93.6169,93.6169,93.331,computed
65,66,94.9131,94.9131,95.5079,computed
66,67,97.5508,97.5508,97.1893,computed
67,68,99.2712,99.2712,98.9765,computed
68,69,99.7542,99.7542,100.3721,computed
69,70,102.5013,102.4249,101.5504,computed
70,71,102.4249,102.5013,103.4577,computed
71,72,105.4864,105.4864,105.4764,computed
72,73,108.5599,108.5599,107.728,computed
73,74,109.3822,109.3822,110.2457,computed
74,75,112.8402,112.8402,112.2581,computed
75,76,114.0091,114.0091,114.0716,computed
76,77,116.2,116.2,116.2226,computed
77,78,118.0575,118.0575,118.1248,computed
78,79,121.0,121.0,121.1149,computed
79,80,123.9406,123.9406,123.9731,computed
80,81,128.5752,128.5752,127.9252,computed
81,82,130.9416,130.9416,131.7385,computed
82,83,138.0983,138.0983,137.8514,computed
83,84,142.0353,142.0353,143.8328,computed
84,85,153.2961,153.0257,149.391,computed
85,86,153.0257,153.2961,154.6294,computed
86,87,158.0327,158.0327,159.7078,computed
87,88,166.2332,166.2332,165.0291,computed
88,89,170.4068,170.4068,171.4856,computed
89,90,177.8837,177.8837,176.074,computed
90,91,179.2245,178.0735,178.3866,computed
91,92,179.0384,179.0384,179.748,computed
92,93,178.0735,179.1314,179.7593,computed
93,94,179.2912,179.0384,178.4206,computed
