frame_index,frame_number,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
0,1,178.2513,177.8039,177.7902,computed
1,2,177.3529,177.5784,177.6136,computed
2,3,177.8039,177.3529,177.1919,computed
3,4,176.3592,176.3592,176.5252,computed
4,5,175.2922,175.2922,175.6469,computed
5,6,175.0473,175.0473,174.5798,computed
6,7,172.8123,172.8123,173.319,computed
7,8,171.1187,171.1187,170.483,computed
8,9,167.7547,167.7547,167.3204,computed
9,10,104.9921,161.7032,162.9493,computed
10,11,161.7032,160.3787,158.7904,computed
11,12,160.3787,153.4817,155.2237,computed
12,13,153.4817,153.4817,153.2775,computed
13,14,150.3168,150.3168,150.752,computed
14,15,149.1935,149.1935,147.1231,computed
15,16,141.8233,141.8233,141.2788,computed
16,17,131.2704,133.8167,136.2914,computed
17,18,130.8843,131.2704,131.4615,computed
18,19,133.8167,130.8843,129.3352,computed
19,20,126.3148,126.3796,127.6795,computed
20,21,126.3796,126.3148,124.8174,computed
21,22,118.4793,121.3992,121.8162,computed
22,23,121.3992,118.4793,119.3025,computed
23,24,117.6309,117.6309,116.8643,computed
24,25,114.6738,115.3413,115.908,computed
25,26,115.3413,115.1965,115.9104,computed
26,27,113.4729,114.6738,113.8392,computed
27,28,115.1965,113.4729,111.1018,computed
28,29,104.3498,104.3498,107.2185,computed
29,30,103.9605,103.9605,103.5709,computed
30,31,101.0514,101.0514,100.8171,computed
31,32,100.1212,100.1212,100.0104,computed
32,33,96.6671,98.2879,98.3473,computed
33,34,97.8291,97.8291,97.8941,computed
34,35,98.2879,96.6671,97.5276,computed
35,36,87.6985,97.8291,96.0526,computed
36,37,91.4592,95.2524,94.8615,computed
37,38,105.5376,91.4592,94.4654,computed
38,39,95.2524,95.2524,93.8012,computed
39,40,90.7585,95.2524,93.8564,computed
40,41,98.4333,92.69,94.1454,computed
41,42,92.69,92.69,92.9478,computed
42,43,90.17,92.69,91.4781,computed
43,44,92.9827,90.17,90.1147,computed
44,45,85.9665,87.484,86.1291,computed
45,46,82.7943,87.484,88.557,computed
46,47,87.484,87.484,95.4356,computed
47,48,112.371,112.371,104.1195,computed
48,49,128.8964,112.371,111.664,computed
49,50,116.5672,113.2978,115.9169,computed
50,51,111.5218,113.2978,112.3405,computed
51,52,113.2978,111.5218,109.9536,computed
52,53,96.438,104.7764,106.8827,computed
53,54,94.0141,104.7764,105.0164,computed
54,55,104.7764,104.7764,104.9331,computed
55,56,123.5342,107.1568,106.4559,computed
56,57,107.1568,107.4239,107.104,computed
57,58,107.4239,107.4981,107.2408,computed
58,59,107.4981,107.4981,108.1383,computed
59,60,128.9052,108.9912,110.5195,computed
60,61,108.9912,114.4262,112.8198,computed
61,62,114.4262,115.877,114.5381,computed
62,63,119.2808,114.4262,115.8869,computed
63,64,115.877,115.877,116.7938,computed
64,65,113.2021,119.2808,118.349,computed
65,66,120.511,120.511,119.8585,computed
66,67,122.8054,120.511,121.1256,computed
67,68,127.2604,120.511,121.2731,computed
68,69,119.0138,122.8054,120.5499,computed
69,70,120.2885,120.2885,121.1076,computed
70,71,127.1317,120.2885,122.9346,computed
71,72,118.9268,127.1317,125.2684,computed
72,73,130.5767,129.6148,128.6576,computed
73,74,132.8455,130.5767,131.389,computed
74,75,129.6148,132.8455,132.2737,computed
75,76,135.2843,135.2843,135.2762,computed
76,77,138.1508,138.1508,140.8775,computed
77,78,148.1849,148.1849,146.7487,computed
78,79,155.3309,154.6116,152.2832,computed
79,80,154.6116,155.3309,156.8213,computed
80,81,159.1502,159.1502,159.9883,computed
81,82,163.3814,163.3814,162.9166,computed
82,83,168.2951,167.5182,166.6512,computed
83,84,167.5182,168.2951,169.3682,computed
84,85,172.0429,172.0429,171.4927,computed
85,86,175.2265,172.9639,173.0692,computed
86,87,172.9639,174.7178,174.5445,computed
87,88,174.7178,175.2265,175.4389,computed
88,89,176.1934,176.1934,176.423,computed
89,90,177.4253,177.4253,177.058,computed
90,91,177.492,177.4586,177.4443,computed
91,92,178.0111,177.492,177.5817,computed
