subject_id,video_id,exercise,rep_number,correctness_label,screening_flag,fired_rules,peak_flexion_val,peak_flexion_base,peak_flexion_threshold,peak_flexion_margin,rom_val,rom_base,rom_threshold,rom_margin,velocity_val,velocity_base,velocity_threshold,velocity_margin
8,PM_113,Squat,1,1,NOT_FLAGGED,None,68.588,72.9766,60.9881,0.0,109.7124,105.5005,128.667,0.0,58.608,49.935,90.7965,0.0
8,PM_113,Squat,2,1,NOT_FLAGGED,None,77.3652,72.9766,60.9881,0.0,101.2885,105.5005,128.667,0.0,41.262,49.935,90.7965,0.0
8,PM_113,Squat,3,1,NOT_FLAGGED,None,70.9322,72.9766,60.9881,0.0,108.4607,105.5005,128.667,0.0,35.064,49.935,90.7965,0.0
8,PM_113,Squat,4,1,NOT_FLAGGED,None,65.4608,72.9766,60.9881,0.0,113.5491,105.5005,128.667,0.0,48.594,49.935,90.7965,0.0
8,PM_113,Squat,5,1,NOT_FLAGGED,None,63.7153,72.9766,60.9881,0.0,114.3997,105.5005,128.667,0.0,41.637,49.935,90.7965,0.0
8,PM_113,Squat,6,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_VELOCITY;EXCESS_ROM,43.2178,72.9766,60.9881,17.7703,136.4995,105.5005,128.667,7.8325,110.616,49.935,90.7965,19.8195
8,PM_113,Squat,7,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,49.7473,72.9766,60.9881,11.2408,129.8422,105.5005,128.667,1.1752,62.826,49.935,90.7965,0.0
8,PM_113,Squat,8,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,41.0973,72.9766,60.9881,19.8908,132.5268,105.5005,128.667,3.8598,59.823,49.935,90.7965,0.0
8,PM_113,Squat,9,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,38.9144,72.9766,60.9881,22.0737,140.9293,105.5005,128.667,12.2623,70.356,49.935,90.7965,0.0
8,PM_113,Squat,10,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,37.3152,72.9766,60.9881,23.6729,142.2036,105.5005,128.667,13.5366,72.12,49.935,90.7965,0.0
6,PM_104,Lunge,1,1,NOT_FLAGGED,None,87.8982,84.6637,72.6752,0.0,74.5246,76.7807,99.9473,0.0,25.842,32.6805,73.542,0.0
6,PM_104,Lunge,2,1,NOT_FLAGGED,None,81.4293,84.6637,72.6752,0.0,79.0368,76.7807,99.9473,0.0,39.519,32.6805,73.542,0.0
6,PM_104,Lunge,3,1,NOT_FLAGGED,None,86.0091,84.6637,72.6752,0.0,71.7917,76.7807,99.9473,0.0,32.424,32.6805,73.542,0.0
6,PM_104,Lunge,4,1,NOT_FLAGGED,None,80.6469,84.6637,72.6752,0.0,74.1139,76.7807,99.9473,0.0,42.759,32.6805,73.542,0.0
6,PM_104,Lunge,5,1,NOT_FLAGGED,None,91.4346,84.6637,72.6752,0.0,72.3811,76.7807,99.9473,0.0,35.076,32.6805,73.542,0.0
6,PM_104,Lunge,6,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,59.1212,84.6637,72.6752,13.554,117.2779,76.7807,99.9473,17.3306,59.958,32.6805,73.542,0.0
6,PM_104,Lunge,7,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,61.6801,84.6637,72.6752,10.9951,117.5248,76.7807,99.9473,17.5775,63.468,32.6805,73.542,0.0
6,PM_104,Lunge,8,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,63.7548,84.6637,72.6752,8.9204,107.594,76.7807,99.9473,7.6467,58.887,32.6805,73.542,0.0
6,PM_104,Lunge,9,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,56.9816,84.6637,72.6752,15.6936,119.663,76.7807,99.9473,19.7157,41.412,32.6805,73.542,0.0
6,PM_104,Lunge,10,0,SCREENING_POSITIVE,EXCESS_DEPTH;EXCESS_ROM,52.6861,84.6637,72.6752,19.9891,121.7937,76.7807,99.9473,21.8464,60.483,32.6805,73.542,0.0
