frame_index_global,frame_index_in_rep,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
1401,0,128.4274,129.1908,129.0186,valid
1402,1,129.1908,128.8091,128.9817,valid
1403,2,129.2956,128.4274,128.6859,valid
1404,3,128.1741,128.1741,128.1313,valid
1405,4,127.884,127.884,127.264,valid
1406,5,125.8491,125.8491,126.4032,valid
1407,6,124.9613,124.9613,125.4308,valid
1408,7,124.6653,124.6653,123.8356,valid
1409,8,122.6057,122.6057,122.5297,valid
1410,9,119.4444,119.4444,120.4772,valid
1411,10,118.8117,118.8117,117.6891,valid
1412,11,114.6977,114.6977,114.5717,valid
1413,12,111.3807,111.3807,111.8214,valid
1414,13,108.8456,108.8456,109.5823,valid
1415,14,107.9135,108.8456,108.0377,valid
1416,15,105.743,108.3796,107.5846,valid
1417,16,134.6431,106.8282,110.1407,valid
1418,17,,,,chain_incomplete
1419,18,95.1207,114.8819,109.4827,valid
1420,19,,,,chain_incomplete
1421,20,,,,chain_incomplete
1422,21,67.3649,75.8485,78.4941,valid
1423,22,,,,chain_incomplete
1424,23,84.3321,76.1631,79.6461,valid
1425,24,67.9941,88.0466,81.5031,valid
1426,25,120.8744,84.3321,82.8059,valid
1427,26,91.761,73.8546,81.4215,valid
1428,27,73.8546,82.8078,77.088,valid
1429,28,73.7097,73.8546,74.7918,valid
1430,29,,,,chain_incomplete
1431,30,,,,chain_incomplete
1432,31,,,,chain_incomplete
1433,32,65.1324,65.1324,65.6357,valid
1434,33,,,,chain_incomplete
1435,34,,,,chain_incomplete
1436,35,,,,chain_incomplete
1437,36,63.4564,63.4564,63.2992,valid
1438,37,,,,chain_incomplete
1439,38,,,,chain_incomplete
1440,39,,,,chain_incomplete
1441,40,,,,chain_incomplete
1442,41,58.6108,58.6108,58.8716,valid
1443,42,,,,chain_incomplete
1444,43,,,,chain_incomplete
1445,44,,,,chain_incomplete
1446,45,,,,chain_incomplete
1447,46,,,,chain_incomplete
1448,47,,,,chain_incomplete
1449,48,,,,chain_incomplete
1450,49,,,,chain_incomplete
1451,50,,,,chain_incomplete
1452,51,,,,chain_incomplete
1453,52,,,,chain_incomplete
1454,53,,,,chain_incomplete
1455,54,,,,chain_incomplete
1456,55,,,,chain_incomplete
1457,56,56.7894,57.7668,57.6053,valid
1458,57,58.13,57.7668,57.6753,valid
1459,58,57.7668,57.7668,58.2943,valid
1460,59,,,,chain_incomplete
1461,60,,,,chain_incomplete
1462,61,62.3672,63.3618,62.818,valid
1463,62,63.3618,63.7778,63.7941,valid
1464,63,64.1939,64.1939,64.7378,valid
1465,64,65.9728,65.9728,65.8894,valid
1466,65,67.6241,67.6241,67.5033,valid
1467,66,69.1658,69.1658,69.1597,valid
1468,67,70.5735,70.5735,70.5071,valid
1469,68,71.6885,71.6885,70.8707,valid
1470,69,73.9011,72.7948,72.4021,valid
1471,70,124.908,73.9011,76.4281,valid
1472,71,,,,chain_incomplete
1473,72,,,,chain_incomplete
1474,73,79.8546,103.7449,103.1124,valid
1475,74,103.7449,111.4792,107.4362,valid
1476,75,147.4227,103.7449,106.5824,valid
1477,76,119.2135,103.7449,102.6115,valid
1478,77,92.4907,97.0299,98.478,valid
1479,78,94.3231,97.0299,97.0312,valid
1480,79,97.0299,97.0299,96.41,valid
1481,80,97.5933,97.5933,98.5548,valid
1482,81,101.2189,101.2189,101.0746,valid
1483,82,104.7972,104.7972,104.1637,valid
1484,83,107.2085,107.2085,107.1205,valid
1485,84,109.482,109.482,109.9246,valid
1486,85,111.9368,111.9368,112.013,valid
1487,86,115.5545,115.4419,114.4261,valid
1488,87,115.4419,115.5545,117.0131,valid
1489,88,119.7614,119.7614,119.3001,valid
1490,89,121.7033,121.7033,121.0371,valid
1491,90,122.3915,122.3915,122.7449,valid
1492,91,123.1006,123.1006,123.294,valid
1493,92,124.156,124.0719,123.8237,valid
1494,93,124.0719,124.156,124.278,valid
1495,94,124.6832,124.6832,124.5394,valid
1496,95,124.7815,124.7815,124.8878,valid
1497,96,125.3244,125.3244,125.6098,valid
1498,97,127.6478,126.5341,126.4383,valid
1499,98,127.3995,127.3995,127.1422,valid
1500,99,126.5341,127.6478,127.5732,valid
1501,100,127.7547,127.3995,127.699,valid
1502,101,127.8126,127.7547,127.6912,valid
1503,102,127.1137,127.7547,127.6134,valid
1504,103,127.9506,127.4632,127.4425,valid
1505,104,127.0124,127.1137,127.1783,valid
