frame_index_global,frame_index_in_rep,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
155,0,140.3814,140.3814,140.313,valid
156,1,140.449,139.5136,139.4612,valid
157,2,138.6457,138.6457,138.9033,valid
158,3,138.1769,138.6457,138.6393,valid
159,4,137.9042,138.6457,138.8074,valid
160,5,139.7857,139.3789,139.3342,valid
161,6,139.3789,139.3789,139.2441,valid
162,7,140.1922,139.3789,138.7782,valid
163,8,136.982,137.2818,137.9543,valid
164,9,137.2818,137.2818,137.3083,valid
165,10,136.8962,136.982,136.9451,valid
166,11,137.4877,137.1106,137.0694,valid
167,12,136.579,136.8962,136.954,valid
168,13,137.1106,136.579,136.6278,valid
169,14,135.8023,135.8023,135.3553,valid
170,15,134.0829,134.0829,133.7582,valid
171,16,131.3385,131.3385,132.2499,valid
172,17,131.3042,131.3042,131.43,valid
173,18,131.1805,131.1805,130.9842,valid
174,19,129.1042,131.1171,130.4639,valid
175,20,131.1171,129.1042,129.4222,valid
176,21,127.6422,127.6422,128.036,valid
177,22,126.9745,126.9745,126.4283,valid
178,23,125.1375,125.1375,125.3372,valid
179,24,123.8074,123.8074,124.1937,valid
180,25,123.5034,123.5034,123.1402,valid
181,26,121.9004,121.9004,122.0659,valid
182,27,120.8846,120.8846,120.5725,valid
183,28,118.4719,118.4719,118.4102,valid
184,29,116.405,116.405,116.3821,valid
185,30,113.9369,114.2567,114.8144,valid
186,31,113.946,113.946,113.9135,valid
187,32,114.2567,113.9369,113.4808,valid
188,33,113.1289,113.1289,113.3579,valid
189,34,112.7264,113.1289,113.153,valid
190,35,113.0172,113.1289,113.0024,valid
191,36,113.2461,113.2461,113.323,valid
192,37,114.4772,113.4467,113.7124,valid
193,38,113.4467,114.4772,114.138,valid
194,39,114.8883,114.4772,114.4661,valid
195,40,114.5338,114.5338,114.5905,valid
196,41,114.1485,114.5338,114.5424,valid
197,42,114.8048,114.5338,114.6202,valid
198,43,114.2847,114.7705,114.6884,valid
199,44,114.7705,114.7705,114.7549,valid
200,45,115.7334,114.748,114.7845,valid
201,46,113.8519,114.7705,114.7449,valid
202,47,114.748,114.748,114.4592,valid
203,48,114.8704,114.748,114.867,valid
204,49,97.322,114.8704,115.8019,valid
205,50,127.6154,118.0088,117.2718,valid
206,51,118.0088,118.7902,118.5159,valid
207,52,118.7902,119.9341,119.8967,valid
208,53,119.9341,119.9341,120.7452,valid
209,54,122.6357,122.6357,122.0727,valid
210,55,123.1228,123.1228,123.2708,valid
211,56,125.6581,124.5145,124.2971,valid
212,57,124.5145,124.5145,124.5533,valid
213,58,125.0733,124.7757,124.6679,valid
214,59,124.0943,124.7757,124.7328,valid
215,60,124.7757,125.0733,125.6277,valid
216,61,126.832,126.832,127.0108,valid
217,62,129.0733,129.0733,128.4657,valid
218,63,130.6488,129.7481,129.629,valid
219,64,131.1759,129.7481,130.0195,valid
220,65,129.7481,130.0635,129.8875,valid
221,66,129.7187,129.7481,129.816,valid
222,67,130.0635,129.7481,129.8802,valid
223,68,129.3295,130.0635,130.0517,valid
224,69,130.8389,130.454,130.4368,valid
225,70,131.9251,130.8389,130.8164,valid
226,71,130.454,131.1026,131.0528,valid
227,72,131.5106,131.2381,131.1888,valid
228,73,131.1026,131.2381,131.2015,valid
229,74,131.2381,131.5106,131.5245,valid
230,75,131.9429,131.9429,132.437,valid
231,76,133.693,133.693,133.5897,valid
232,77,135.1172,135.1172,134.5869,valid
233,78,135.2574,135.1172,135.2693,valid
234,79,136.2613,135.1172,135.2763,valid
235,80,134.7684,135.2574,134.9986,valid
236,81,134.309,134.7684,134.9407,valid
237,82,135.4621,134.7684,134.9895,valid
238,83,134.0661,135.2835,135.067,valid
239,84,135.2835,135.3728,135.2105,valid
240,85,135.5001,135.2835,135.4201,valid
