Subject_ID,Camera_View,Analysis_Group,frame_index,frame_number,frame_filename,frame_path
1679,sagittal,primary_sagittal_knee_angle,0,1,000001.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000001.jpg
1679,sagittal,primary_sagittal_knee_angle,1,2,000002.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000002.jpg
1679,sagittal,primary_sagittal_knee_angle,2,3,000003.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000003.jpg
1679,sagittal,primary_sagittal_knee_angle,3,4,000004.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000004.jpg
1679,sagittal,primary_sagittal_knee_angle,4,5,000005.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000005.jpg
1679,sagittal,primary_sagittal_knee_angle,5,6,000006.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000006.jpg
1679,sagittal,primary_sagittal_knee_angle,6,7,000007.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000007.jpg
1679,sagittal,primary_sagittal_knee_angle,7,8,000008.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000008.jpg
1679,sagittal,primary_sagittal_knee_angle,8,9,000009.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000009.jpg
1679,sagittal,primary_sagittal_knee_angle,9,10,000010.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000010.jpg
1679,sagittal,primary_sagittal_knee_angle,10,11,000011.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000011.jpg
1679,sagittal,primary_sagittal_knee_angle,11,12,000012.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000012.jpg
1679,sagittal,primary_sagittal_knee_angle,12,13,000013.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000013.jpg
1679,sagittal,primary_sagittal_knee_angle,13,14,000014.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000014.jpg
1679,sagittal,primary_sagittal_knee_angle,14,15,000015.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000015.jpg
1679,sagittal,primary_sagittal_knee_angle,15,16,000016.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000016.jpg
1679,sagittal,primary_sagittal_knee_angle,16,17,000017.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000017.jpg
1679,sagittal,primary_sagittal_knee_angle,17,18,000018.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000018.jpg
1679,sagittal,primary_sagittal_knee_angle,18,19,000019.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000019.jpg
1679,sagittal,primary_sagittal_knee_angle,19,20,000020.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000020.jpg
1679,sagittal,primary_sagittal_knee_angle,20,21,000021.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000021.jpg
1679,sagittal,primary_sagittal_knee_angle,21,22,000022.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000022.jpg
1679,sagittal,primary_sagittal_knee_angle,22,23,000023.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000023.jpg
1679,sagittal,primary_sagittal_knee_angle,23,24,000024.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000024.jpg
1679,sagittal,primary_sagittal_knee_angle,24,25,000025.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000025.jpg
1679,sagittal,primary_sagittal_knee_angle,25,26,000026.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000026.jpg
1679,sagittal,primary_sagittal_knee_angle,26,27,000027.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000027.jpg
1679,sagittal,primary_sagittal_knee_angle,27,28,000028.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000028.jpg
1679,sagittal,primary_sagittal_knee_angle,28,29,000029.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000029.jpg
1679,sagittal,primary_sagittal_knee_angle,29,30,000030.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000030.jpg
1679,sagittal,primary_sagittal_knee_angle,30,31,000031.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000031.jpg
1679,sagittal,primary_sagittal_knee_angle,31,32,000032.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000032.jpg
1679,sagittal,primary_sagittal_knee_angle,32,33,000033.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000033.jpg
1679,sagittal,primary_sagittal_knee_angle,33,34,000034.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000034.jpg
1679,sagittal,primary_sagittal_knee_angle,34,35,000035.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000035.jpg
1679,sagittal,primary_sagittal_knee_angle,35,36,000036.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000036.jpg
1679,sagittal,primary_sagittal_knee_angle,36,37,000037.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000037.jpg
1679,sagittal,primary_sagittal_knee_angle,37,38,000038.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000038.jpg
1679,sagittal,primary_sagittal_knee_angle,38,39,000039.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000039.jpg
1679,sagittal,primary_sagittal_knee_angle,39,40,000040.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000040.jpg
1679,sagittal,primary_sagittal_knee_angle,40,41,000041.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000041.jpg
1679,sagittal,primary_sagittal_knee_angle,41,42,000042.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000042.jpg
1679,sagittal,primary_sagittal_knee_angle,42,43,000043.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000043.jpg
1679,sagittal,primary_sagittal_knee_angle,43,44,000044.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000044.jpg
1679,sagittal,primary_sagittal_knee_angle,44,45,000045.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000045.jpg
1679,sagittal,primary_sagittal_knee_angle,45,46,000046.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000046.jpg
1679,sagittal,primary_sagittal_knee_angle,46,47,000047.jpg,1_raw_datasets/Dataset/Squats Frames/1679/000047.jpg
