frame_index,left_knee_angle_deg,right_knee_angle_deg,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,left_angle_status,right_angle_status
0,175.2604,,0.9999,0.7556,0.9246,0.9999,0.041,0.1997,valid,chain_incomplete
1,173.1933,,0.9998,0.7575,0.9372,0.9998,0.0339,0.186,valid,chain_incomplete
2,172.4936,,0.9999,0.5783,0.889,0.9999,0.0167,0.1211,valid,chain_incomplete
3,174.6976,,1.0,0.7915,0.8948,0.9999,0.038,0.1848,valid,chain_incomplete
4,176.2901,,0.9999,0.8465,0.93,0.9999,0.0601,0.2448,valid,chain_incomplete
5,175.6217,,0.9999,0.5345,0.8343,0.9998,0.0166,0.0926,valid,chain_incomplete
6,176.5307,,0.9999,0.5818,0.8537,0.9999,0.0227,0.111,valid,chain_incomplete
7,,,0.9999,0.441,0.7974,0.9999,0.0128,0.0828,chain_incomplete,chain_incomplete
8,174.6949,,0.9999,0.5849,0.838,0.9999,0.02,0.0963,valid,chain_incomplete
9,173.4458,,0.9998,0.5075,0.8153,0.9998,0.0187,0.0923,valid,chain_incomplete
10,174.564,,0.9999,0.7389,0.8623,0.9999,0.0391,0.1615,valid,chain_incomplete
11,172.8827,,0.9999,0.7395,0.8731,0.9999,0.0371,0.1653,valid,chain_incomplete
12,,,0.9999,0.3618,0.7169,0.9999,0.0116,0.0646,chain_incomplete,chain_incomplete
13,175.3557,,0.9999,0.6942,0.8929,0.9998,0.0311,0.1578,valid,chain_incomplete
14,176.2678,,0.9999,0.6572,0.8944,0.9999,0.0273,0.1571,valid,chain_incomplete
15,176.2425,,0.9999,0.6289,0.8909,0.9999,0.024,0.1406,valid,chain_incomplete
16,176.2452,,0.9997,0.6167,0.8818,0.9997,0.0233,0.1298,valid,chain_incomplete
17,176.7531,,0.9999,0.7128,0.926,0.9999,0.0328,0.1754,valid,chain_incomplete
18,175.4709,,0.9999,0.5945,0.8668,0.9999,0.0207,0.1184,valid,chain_incomplete
19,176.7655,,0.9999,0.6103,0.894,0.9999,0.0228,0.1422,valid,chain_incomplete
20,176.8731,,0.9999,0.5958,0.8977,0.9999,0.0214,0.129,valid,chain_incomplete
21,175.8333,,0.9999,0.5685,0.874,0.9999,0.0214,0.1289,valid,chain_incomplete
22,,,0.9999,0.4941,0.8296,0.9999,0.0146,0.0928,chain_incomplete,chain_incomplete
23,175.5479,,0.9999,0.6398,0.8877,0.9999,0.0263,0.1246,valid,chain_incomplete
24,,,0.9999,0.3453,0.7437,0.9999,0.0095,0.0602,chain_incomplete,chain_incomplete
25,174.7771,,0.9998,0.7419,0.929,0.9998,0.0323,0.1723,valid,chain_incomplete
26,175.469,,0.9999,0.7516,0.9439,0.9998,0.0308,0.1626,valid,chain_incomplete
27,175.3465,,0.9998,0.6039,0.8791,0.9998,0.0203,0.1204,valid,chain_incomplete
28,174.8353,,0.9999,0.6543,0.8913,0.9999,0.024,0.1382,valid,chain_incomplete
29,174.8737,,0.9999,0.6837,0.9121,0.9998,0.0266,0.1452,valid,chain_incomplete
30,176.7368,,0.9998,0.6164,0.8839,0.9998,0.0235,0.1283,valid,chain_incomplete
31,173.8669,,0.9999,0.6319,0.9044,0.9998,0.021,0.1181,valid,chain_incomplete
32,175.3292,,0.9998,0.7602,0.9242,0.9998,0.046,0.215,valid,chain_incomplete
33,174.5402,,0.9999,0.77,0.8457,0.9999,0.0402,0.1598,valid,chain_incomplete
34,168.0239,,0.9999,0.8253,0.9531,0.9999,0.0634,0.2608,valid,chain_incomplete
35,168.6663,,0.9999,0.828,0.9325,0.9999,0.0911,0.3158,valid,chain_incomplete
36,168.3964,,0.9999,0.8062,0.9162,0.9999,0.0952,0.2664,valid,chain_incomplete
37,167.1141,,0.9999,0.6571,0.845,0.9998,0.0506,0.1612,valid,chain_incomplete
38,166.6925,,1.0,0.658,0.8362,0.9999,0.0543,0.1719,valid,chain_incomplete
39,167.1071,,1.0,0.7038,0.8562,0.9999,0.0509,0.1508,valid,chain_incomplete
40,165.2495,,0.9999,0.5387,0.7052,0.9999,0.0328,0.0819,valid,chain_incomplete
41,164.5237,,0.9999,0.6692,0.8297,0.9999,0.0599,0.1408,valid,chain_incomplete
42,159.3142,,0.9999,0.6946,0.799,0.9999,0.0597,0.1223,valid,chain_incomplete
43,157.1051,,1.0,0.7551,0.852,0.9999,0.0979,0.1989,valid,chain_incomplete
44,148.3287,,0.9999,0.6994,0.848,0.9999,0.0551,0.1375,valid,chain_incomplete
45,146.1719,,0.9999,0.6883,0.7229,0.9999,0.0691,0.1258,valid,chain_incomplete
46,144.7982,,0.9999,0.725,0.7669,0.9999,0.0828,0.1526,valid,chain_incomplete
47,138.2842,,0.9999,0.7326,0.779,0.9999,0.0764,0.1641,valid,chain_incomplete
48,140.2835,,0.9999,0.8289,0.8759,0.9999,0.1252,0.2506,valid,chain_incomplete
49,142.5098,,0.9999,0.8612,0.9182,0.9999,0.1884,0.2913,valid,chain_incomplete
50,140.0841,,0.9999,0.8456,0.8927,0.9999,0.2156,0.3063,valid,chain_incomplete
51,136.4719,,0.9999,0.9247,0.9501,0.9999,0.3356,0.4357,valid,chain_incomplete
52,129.9149,,0.9998,0.8223,0.8653,0.9998,0.1691,0.2651,valid,chain_incomplete
53,128.9428,,0.9999,0.8796,0.9274,0.9998,0.2563,0.3883,valid,chain_incomplete
54,128.2821,,0.9999,0.7766,0.8295,0.9999,0.1006,0.1604,valid,chain_incomplete
55,120.4611,,0.9999,0.8112,0.8699,0.9999,0.1692,0.2845,valid,chain_incomplete
56,116.8906,,0.9999,0.807,0.8109,0.9999,0.1357,0.2158,valid,chain_incomplete
57,123.0566,,0.9999,0.7567,0.7786,0.9999,0.1416,0.2819,valid,chain_incomplete
58,135.7222,,0.9999,0.8127,0.8991,0.9999,0.3437,0.5705,valid,chain_incomplete
59,126.839,,1.0,0.7809,0.885,1.0,0.4368,0.6876,valid,chain_incomplete
60,132.3766,121.0373,1.0,0.965,0.9614,1.0,0.6417,0.7513,valid,valid
61,140.8178,110.4845,1.0,0.9684,0.972,1.0,0.6587,0.7533,valid,valid
62,152.423,120.7015,1.0,0.9529,0.9616,0.9999,0.6151,0.7518,valid,valid
63,161.2271,,0.9998,0.8676,0.8981,0.9998,0.3375,0.4851,valid,chain_incomplete
64,158.4273,138.7036,0.9999,0.9165,0.9303,0.9999,0.5363,0.6876,valid,valid
65,155.3578,137.9349,1.0,0.9582,0.9514,1.0,0.8182,0.8834,valid,valid
66,157.0268,136.1552,1.0,0.9096,0.9133,0.9999,0.6688,0.7811,valid,valid
67,155.3474,133.24,1.0,0.9165,0.9244,0.9999,0.7272,0.8129,valid,valid
68,153.6019,129.5592,1.0,0.9387,0.942,1.0,0.7729,0.8363,valid,valid
69,153.2344,129.6467,1.0,0.9286,0.9392,1.0,0.6518,0.7118,valid,valid
70,153.9839,134.2228,1.0,0.895,0.8811,1.0,0.7316,0.7976,valid,valid
71,157.7607,134.8764,1.0,0.937,0.9172,1.0,0.7386,0.8023,valid,valid
72,160.0243,136.8687,1.0,0.9549,0.9383,0.9999,0.7545,0.8154,valid,valid
73,161.9808,137.7702,1.0,0.9634,0.9463,0.9999,0.7691,0.8231,valid,valid
74,157.0811,140.634,1.0,0.9574,0.9495,1.0,0.7968,0.8673,valid,valid
75,159.326,140.6583,1.0,0.9585,0.9515,1.0,0.7513,0.8272,valid,valid
76,161.5259,142.399,1.0,0.954,0.9384,0.9999,0.6222,0.6955,valid,valid
77,160.4632,145.4116,1.0,0.9163,0.8912,0.9999,0.5136,0.605,valid,valid
78,157.9194,146.2739,1.0,0.9506,0.915,0.9999,0.6632,0.6677,valid,valid
79,157.4568,,1.0,0.9309,0.8963,0.9999,0.4356,0.4936,valid,chain_incomplete
80,157.934,141.5983,1.0,0.9685,0.9543,1.0,0.6383,0.7035,valid,valid
81,150.1616,,1.0,0.9541,0.9743,0.9999,0.2469,0.4025,valid,chain_incomplete
82,176.7158,,1.0,0.9622,0.9654,0.9999,0.2422,0.3576,valid,chain_incomplete
83,163.9562,,1.0,0.9651,0.9609,0.9999,0.3193,0.4555,valid,chain_incomplete
84,165.4195,138.3339,1.0,0.969,0.9655,0.9999,0.5185,0.5914,valid,valid
85,163.6263,144.3399,1.0,0.9795,0.9813,0.9999,0.8425,0.8878,valid,valid
86,164.2554,143.7931,1.0,0.9922,0.9919,0.9999,0.8232,0.8914,valid,valid
87,164.6121,145.5301,1.0,0.9922,0.9916,0.9999,0.8571,0.9128,valid,valid
88,161.6581,146.0334,1.0,0.995,0.9918,1.0,0.8886,0.916,valid,valid
89,164.6551,142.0081,1.0,0.9931,0.9918,0.9999,0.8094,0.8842,valid,valid
90,161.6355,144.6072,1.0,0.9934,0.9929,0.9999,0.8848,0.9357,valid,valid
91,159.9485,145.0617,1.0,0.9949,0.9944,1.0,0.9119,0.9499,valid,valid
92,156.7971,145.5682,1.0,0.9934,0.9918,1.0,0.8956,0.9343,valid,valid
93,152.7835,145.5601,1.0,0.9927,0.9917,1.0,0.9071,0.9465,valid,valid
94,148.8738,144.2848,1.0,0.9936,0.9917,1.0,0.911,0.9432,valid,valid
95,149.2721,145.2062,1.0,0.9895,0.9893,1.0,0.8377,0.91,valid,valid
96,146.92,143.5188,1.0,0.9945,0.9942,1.0,0.8417,0.9144,valid,valid
97,149.1667,141.934,1.0,0.9953,0.995,1.0,0.7799,0.8878,valid,valid
98,152.1302,140.6373,1.0,0.997,0.9963,1.0,0.8782,0.9308,valid,valid
99,154.2312,139.0531,1.0,0.9962,0.9958,0.9999,0.8892,0.928,valid,valid
100,155.8931,137.4303,1.0,0.9927,0.9892,0.9999,0.7937,0.8254,valid,valid
101,158.1926,,1.0,0.9829,0.9753,0.9999,0.4207,0.5273,valid,chain_incomplete
102,154.6452,,1.0,0.9808,0.9712,0.9999,0.3777,0.498,valid,chain_incomplete
103,149.972,134.1924,1.0,0.9942,0.9927,0.9999,0.8142,0.8854,valid,valid
104,147.5895,131.244,1.0,0.995,0.9934,0.9999,0.822,0.8986,valid,valid
105,149.0921,128.2858,0.9999,0.988,0.9795,0.9999,0.5638,0.6915,valid,valid
106,125.4936,152.9738,1.0,0.9897,0.9913,1.0,0.8157,0.9245,valid,valid
