frame_index,left_knee_angle_deg,right_knee_angle_deg,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,left_angle_status,right_angle_status
0,169.5658,,1.0,0.5048,0.926,1.0,0.0257,0.1889,valid,chain_incomplete
1,170.1944,,1.0,0.6287,0.9433,1.0,0.0306,0.2326,valid,chain_incomplete
2,,,1.0,0.4704,0.8392,1.0,0.0394,0.1805,chain_incomplete,chain_incomplete
3,,,1.0,0.2978,0.8092,1.0,0.0169,0.11,chain_incomplete,chain_incomplete
4,,,1.0,0.3754,0.8577,1.0,0.013,0.0879,chain_incomplete,chain_incomplete
5,,,1.0,0.3564,0.8007,1.0,0.0216,0.1147,chain_incomplete,chain_incomplete
6,,,1.0,0.4393,0.8766,1.0,0.0186,0.1092,chain_incomplete,chain_incomplete
7,,,1.0,0.3674,0.8397,1.0,0.016,0.0892,chain_incomplete,chain_incomplete
8,,,1.0,0.4207,0.8605,1.0,0.0167,0.1036,chain_incomplete,chain_incomplete
9,171.6208,,1.0,0.7879,0.9173,1.0,0.1099,0.311,valid,chain_incomplete
10,172.9924,,1.0,0.7242,0.8961,1.0,0.0596,0.1965,valid,chain_incomplete
11,171.8214,,1.0,0.5363,0.9172,1.0,0.0266,0.1918,valid,chain_incomplete
12,169.6231,,1.0,0.7117,0.9567,1.0,0.0412,0.2764,valid,chain_incomplete
13,,,1.0,0.2485,0.7791,0.9999,0.0064,0.0513,chain_incomplete,chain_incomplete
14,169.3294,,1.0,0.6206,0.9515,1.0,0.0309,0.2485,valid,chain_incomplete
15,,,1.0,0.4521,0.8855,1.0,0.0222,0.1479,chain_incomplete,chain_incomplete
16,,,1.0,0.4328,0.8843,1.0,0.0252,0.1709,chain_incomplete,chain_incomplete
17,,,1.0,0.4615,0.9068,1.0,0.0244,0.1882,chain_incomplete,chain_incomplete
18,,,1.0,0.4322,0.8824,1.0,0.0248,0.1554,chain_incomplete,chain_incomplete
19,,,1.0,0.4646,0.8942,1.0,0.0235,0.1608,chain_incomplete,chain_incomplete
20,173.0349,,1.0,0.5523,0.9247,1.0,0.0293,0.2061,valid,chain_incomplete
21,,,1.0,0.3809,0.8552,1.0,0.0174,0.1128,chain_incomplete,chain_incomplete
22,,,1.0,0.2282,0.7437,1.0,0.0141,0.0807,chain_incomplete,chain_incomplete
23,,,1.0,0.1458,0.6208,0.9999,0.0074,0.0424,chain_incomplete,chain_incomplete
24,,,1.0,0.4316,0.8786,1.0,0.0162,0.1277,chain_incomplete,chain_incomplete
25,,,1.0,0.3555,0.8615,1.0,0.0162,0.1236,chain_incomplete,chain_incomplete
26,173.3841,,1.0,0.7247,0.9606,1.0,0.0434,0.29,valid,chain_incomplete
27,,,1.0,0.4961,0.8956,1.0,0.0223,0.1572,chain_incomplete,chain_incomplete
28,,,0.9999,0.0714,0.409,0.9999,0.0052,0.0204,chain_incomplete,chain_incomplete
29,,,1.0,0.1664,0.6622,1.0,0.0053,0.0337,chain_incomplete,chain_incomplete
30,,,1.0,0.0684,0.4304,0.9999,0.0019,0.0146,chain_incomplete,chain_incomplete
31,,,1.0,0.3378,0.8,1.0,0.0137,0.0802,chain_incomplete,chain_incomplete
32,,,1.0,0.4374,0.8651,1.0,0.0154,0.1073,chain_incomplete,chain_incomplete
33,,,1.0,0.2998,0.8123,1.0,0.0101,0.0727,chain_incomplete,chain_incomplete
34,,,1.0,0.3986,0.8579,1.0,0.0204,0.1135,chain_incomplete,chain_incomplete
35,,,0.9999,0.1179,0.5946,0.9999,0.0047,0.032,chain_incomplete,chain_incomplete
36,169.992,,1.0,0.6441,0.9317,1.0,0.0272,0.177,valid,chain_incomplete
37,,,1.0,0.1674,0.6918,1.0,0.0087,0.0421,chain_incomplete,chain_incomplete
38,170.7173,,1.0,0.5366,0.9136,1.0,0.0264,0.1519,valid,chain_incomplete
39,170.1646,,1.0,0.5006,0.9066,1.0,0.0242,0.1225,valid,chain_incomplete
40,,,1.0,0.4877,0.8939,1.0,0.0281,0.143,chain_incomplete,chain_incomplete
41,168.9974,,1.0,0.5621,0.9188,1.0,0.0235,0.1177,valid,chain_incomplete
42,169.4628,,1.0,0.756,0.9459,1.0,0.0317,0.1511,valid,chain_incomplete
43,169.0434,,1.0,0.5214,0.8752,1.0,0.0221,0.089,valid,chain_incomplete
44,,,1.0,0.4963,0.843,0.9999,0.0289,0.0838,chain_incomplete,chain_incomplete
45,169.7438,,1.0,0.5126,0.7857,0.9999,0.0264,0.0857,valid,chain_incomplete
46,,,0.9999,0.4165,0.6608,0.9999,0.0169,0.0724,chain_incomplete,chain_incomplete
47,169.2741,,0.9999,0.5563,0.7296,0.9998,0.0262,0.0788,valid,chain_incomplete
48,,,0.9999,0.4273,0.7813,0.9998,0.0225,0.0491,chain_incomplete,chain_incomplete
49,170.2862,,0.9999,0.5783,0.8595,0.9999,0.0355,0.0747,valid,chain_incomplete
50,,,0.9999,0.4407,0.7551,0.9998,0.0328,0.0735,chain_incomplete,chain_incomplete
51,164.9303,,0.9999,0.6584,0.8479,0.9998,0.0427,0.1046,valid,chain_incomplete
52,163.6667,,0.9999,0.7916,0.9046,0.9999,0.0606,0.1761,valid,chain_incomplete
53,167.3096,,1.0,0.8121,0.9169,0.9999,0.0559,0.1984,valid,chain_incomplete
54,166.8089,,1.0,0.8574,0.9356,0.9999,0.0757,0.2546,valid,chain_incomplete
55,166.7796,,1.0,0.8893,0.952,0.9999,0.0814,0.2567,valid,chain_incomplete
56,162.8449,,1.0,0.8798,0.9524,0.9999,0.0848,0.2857,valid,chain_incomplete
57,159.0727,,1.0,0.8218,0.9224,0.9999,0.074,0.2545,valid,chain_incomplete
58,156.0235,,1.0,0.8279,0.9348,0.9999,0.0745,0.2609,valid,chain_incomplete
59,154.0325,,1.0,0.8719,0.9499,0.9999,0.1078,0.3654,valid,chain_incomplete
60,149.484,,1.0,0.9104,0.9629,1.0,0.1825,0.4835,valid,chain_incomplete
61,147.1874,,1.0,0.9036,0.9655,1.0,0.127,0.4152,valid,chain_incomplete
62,148.2213,,1.0,0.9218,0.9754,1.0,0.1637,0.4824,valid,chain_incomplete
63,144.6158,,1.0,0.9399,0.9814,1.0,0.155,0.5112,valid,chain_incomplete
64,145.2814,,1.0,0.9128,0.9716,0.9999,0.1423,0.4521,valid,chain_incomplete
65,154.15,,1.0,0.8509,0.9531,0.9999,0.0725,0.257,valid,chain_incomplete
66,158.8389,,1.0,0.9253,0.9764,0.9999,0.1365,0.3948,valid,chain_incomplete
67,166.6661,,1.0,0.9828,0.9951,1.0,0.4405,0.7998,valid,chain_incomplete
68,166.3143,111.6459,1.0,0.985,0.994,1.0,0.5534,0.8156,valid,valid
69,167.5339,120.8807,1.0,0.9899,0.9964,1.0,0.6075,0.8676,valid,valid
70,167.3547,,1.0,0.9849,0.9959,1.0,0.3478,0.7494,valid,chain_incomplete
71,166.6335,,1.0,0.9861,0.9944,1.0,0.3723,0.7412,valid,chain_incomplete
72,163.5577,,1.0,0.9882,0.9945,1.0,0.4153,0.7767,valid,chain_incomplete
73,159.0578,157.631,1.0,0.9904,0.9948,1.0,0.5195,0.8465,valid,valid
74,156.9319,163.5961,1.0,0.9699,0.9875,0.9999,0.5173,0.7993,valid,valid
75,156.2978,166.0267,1.0,0.9838,0.9925,1.0,0.5117,0.8684,valid,valid
