frame_index,left_knee_angle_deg,right_knee_angle_deg,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,left_angle_status,right_angle_status
0,174.2138,,1.0,0.6739,0.9175,1.0,0.0209,0.1634,valid,chain_incomplete
1,175.1354,,1.0,0.7242,0.9367,1.0,0.0256,0.1923,valid,chain_incomplete
2,173.2326,,1.0,0.588,0.8781,1.0,0.0148,0.1094,valid,chain_incomplete
3,173.606,,1.0,0.6334,0.8971,1.0,0.0125,0.089,valid,chain_incomplete
4,174.3615,,1.0,0.6829,0.9257,0.9999,0.0135,0.114,valid,chain_incomplete
5,171.3134,,1.0,0.5739,0.8703,1.0,0.0082,0.0676,valid,chain_incomplete
6,173.3911,,1.0,0.6787,0.9301,0.9999,0.0135,0.1095,valid,chain_incomplete
7,171.8546,,1.0,0.5846,0.8895,0.9999,0.0091,0.0798,valid,chain_incomplete
8,,,1.0,0.4997,0.8307,0.9999,0.0098,0.07,chain_incomplete,chain_incomplete
9,168.537,,1.0,0.6286,0.9004,0.9999,0.0126,0.0987,valid,chain_incomplete
10,168.1819,,1.0,0.5387,0.8533,0.9999,0.0081,0.0631,valid,chain_incomplete
11,,,1.0,0.4555,0.8199,0.9999,0.0059,0.0478,chain_incomplete,chain_incomplete
12,,,1.0,0.4105,0.7986,0.9999,0.0044,0.0396,chain_incomplete,chain_incomplete
13,,,1.0,0.4204,0.8074,0.9999,0.0053,0.0408,chain_incomplete,chain_incomplete
14,,,1.0,0.4275,0.7939,0.9999,0.0056,0.043,chain_incomplete,chain_incomplete
15,,,0.9999,0.4745,0.8407,0.9999,0.0071,0.0585,chain_incomplete,chain_incomplete
16,170.3471,,1.0,0.512,0.862,0.9999,0.0086,0.0663,valid,chain_incomplete
17,174.5085,,1.0,0.7801,0.9492,1.0,0.0251,0.1779,valid,chain_incomplete
18,,,1.0,0.4809,0.7941,0.9999,0.0067,0.0442,chain_incomplete,chain_incomplete
19,173.4753,,1.0,0.5653,0.872,1.0,0.0135,0.1013,valid,chain_incomplete
