frame_index,knee_angle_deg,visible_side_used,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,angle_status
0,176.3188,left,0.9999,0.8176,0.9498,0.9999,0.0408,0.1532,valid
1,172.031,left,0.9999,0.6718,0.8479,0.9998,0.0168,0.0608,valid
2,174.9859,left,0.9999,0.655,0.8348,0.9998,0.0122,0.0492,valid
3,178.5674,left,0.9998,0.6784,0.8,0.9998,0.0202,0.064,valid
4,176.5424,left,0.9999,0.5725,0.7951,0.9998,0.0139,0.0496,valid
5,177.7912,left,0.9999,0.6816,0.8203,0.9998,0.017,0.0572,valid
6,,right,0.9999,0.4721,0.8167,0.9999,0.011,0.0443,chain_incomplete
7,172.8599,left,0.9999,0.5766,0.8558,0.9999,0.0191,0.0717,valid
8,173.2582,left,0.9999,0.8855,0.9473,0.9999,0.0467,0.1535,valid
9,172.3267,left,0.9999,0.7937,0.9174,0.9999,0.0258,0.1013,valid
10,171.1063,left,0.9999,0.8722,0.9551,0.9999,0.0394,0.1621,valid
11,171.7595,left,0.9999,0.9095,0.9686,0.9999,0.0677,0.2415,valid
12,170.7697,left,0.9998,0.5728,0.8569,0.9998,0.0176,0.0778,valid
13,170.3998,left,0.9999,0.9063,0.9684,0.9999,0.075,0.2677,valid
14,168.2344,left,0.9999,0.6596,0.8964,0.9999,0.0273,0.1127,valid
15,165.4035,left,0.9999,0.822,0.9505,0.9999,0.0384,0.1746,valid
16,165.4593,left,0.9999,0.9198,0.9727,0.9999,0.0644,0.2559,valid
17,165.6676,left,0.9999,0.7694,0.9307,0.9999,0.033,0.1615,valid
18,163.4129,left,1.0,0.8334,0.9539,0.9999,0.0385,0.1913,valid
19,163.2767,left,0.9999,0.9164,0.9771,0.9999,0.0735,0.301,valid
20,164.4543,left,0.9999,0.8968,0.9673,0.9999,0.0506,0.2145,valid
21,162.4304,left,0.9999,0.9006,0.9685,0.9999,0.0514,0.2243,valid
22,163.4089,left,0.9999,0.8979,0.9639,0.9999,0.0472,0.1962,valid
