frame_index,knee_angle_deg,visible_side_used,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,angle_status
0,161.5802,left,1.0,0.6145,0.9072,1.0,0.0495,0.2894,valid
1,163.0632,left,1.0,0.7889,0.955,1.0,0.0698,0.4016,valid
2,165.4071,left,1.0,0.72,0.9292,1.0,0.0541,0.314,valid
3,168.0716,left,1.0,0.5679,0.8755,1.0,0.0304,0.1979,valid
4,,right,1.0,0.4943,0.8428,0.9999,0.0162,0.1254,chain_incomplete
5,172.1719,left,1.0,0.8053,0.9142,1.0,0.0219,0.1652,valid
6,169.9541,left,1.0,0.8833,0.9394,1.0,0.0334,0.2592,valid
7,167.2146,left,1.0,0.8852,0.9422,1.0,0.0392,0.2757,valid
8,166.8352,left,1.0,0.8247,0.9216,1.0,0.0282,0.1988,valid
9,167.6886,left,1.0,0.8515,0.9173,1.0,0.0338,0.2251,valid
10,167.1647,left,1.0,0.8696,0.9364,0.9999,0.0402,0.2694,valid
11,165.2338,left,1.0,0.8797,0.9343,1.0,0.036,0.2366,valid
12,166.6436,left,1.0,0.8202,0.9122,0.9999,0.0382,0.2221,valid
13,167.9988,left,0.9999,0.7433,0.8643,0.9999,0.0243,0.1625,valid
14,167.1524,left,1.0,0.888,0.9364,1.0,0.042,0.2736,valid
15,168.4612,left,0.9999,0.773,0.885,0.9999,0.0286,0.1853,valid
16,165.778,left,0.9999,0.775,0.8794,0.9999,0.0229,0.152,valid
17,165.3482,left,1.0,0.7439,0.8743,1.0,0.019,0.1387,valid
18,164.4827,left,1.0,0.6597,0.8381,0.9999,0.0129,0.098,valid
19,165.7302,left,1.0,0.843,0.9466,1.0,0.0306,0.2421,valid
20,166.3188,left,1.0,0.8225,0.9224,1.0,0.0294,0.19,valid
21,167.9816,left,1.0,0.8283,0.9509,0.9999,0.0394,0.2444,valid
22,166.877,left,0.9999,0.6862,0.9052,0.9999,0.0277,0.1773,valid
23,167.405,left,1.0,0.5801,0.8443,0.9999,0.0134,0.1025,valid
24,,right,0.9999,0.4394,0.8082,0.9999,0.0148,0.1078,chain_incomplete
25,169.2641,left,0.9999,0.5579,0.903,0.9999,0.0221,0.1816,valid
26,168.8416,left,1.0,0.7725,0.957,1.0,0.053,0.3488,valid
27,167.9706,left,1.0,0.5573,0.8919,1.0,0.0372,0.2596,valid
28,168.2217,left,1.0,0.6664,0.9185,1.0,0.0453,0.2822,valid
29,168.2972,left,1.0,0.7072,0.937,1.0,0.0498,0.3098,valid
30,167.7135,left,1.0,0.6323,0.9236,1.0,0.0445,0.29,valid
31,168.7657,left,1.0,0.6462,0.9194,1.0,0.0392,0.2568,valid
32,169.7885,left,1.0,0.7288,0.9486,1.0,0.0399,0.3054,valid
33,169.3704,left,1.0,0.7175,0.9364,1.0,0.0413,0.2674,valid
34,168.9971,left,1.0,0.7353,0.9489,1.0,0.0438,0.3104,valid
35,168.862,left,1.0,0.6717,0.9236,1.0,0.0439,0.27,valid
36,173.9921,left,1.0,0.7609,0.948,1.0,0.0526,0.3319,valid
37,173.8925,left,1.0,0.7601,0.9466,1.0,0.0562,0.3399,valid
38,173.0719,left,1.0,0.7809,0.9512,1.0,0.0746,0.3826,valid
39,172.6178,left,1.0,0.6892,0.9344,1.0,0.0489,0.3142,valid
40,173.3692,left,1.0,0.6969,0.9422,1.0,0.046,0.3307,valid
41,173.5572,left,1.0,0.715,0.9506,1.0,0.0485,0.3128,valid
42,175.6575,left,1.0,0.5926,0.9186,1.0,0.0396,0.2806,valid
43,,right,1.0,0.2802,0.7113,1.0,0.0193,0.133,chain_incomplete
44,,right,1.0,0.3366,0.7975,1.0,0.0259,0.1751,chain_incomplete
45,,right,1.0,0.4767,0.8806,0.9999,0.0208,0.1926,chain_incomplete
46,,right,0.9999,0.3599,0.8184,0.9999,0.0197,0.1484,chain_incomplete
47,,right,0.9999,0.299,0.7493,0.9999,0.012,0.0894,chain_incomplete
48,,right,0.9999,0.17,0.5407,0.9998,0.0038,0.0325,chain_incomplete
49,,right,0.9999,0.385,0.799,0.9999,0.011,0.0746,chain_incomplete
50,,right,0.9999,0.2846,0.7774,0.9999,0.0103,0.0637,chain_incomplete
51,,right,0.9999,0.252,0.7678,0.9998,0.0082,0.0514,chain_incomplete
52,,right,0.9999,0.3974,0.8512,0.9999,0.025,0.1005,chain_incomplete
53,,right,0.9999,0.3758,0.8258,0.9999,0.0202,0.067,chain_incomplete
54,153.1046,left,0.9999,0.6163,0.9249,0.9999,0.0718,0.1888,valid
55,153.2456,left,0.9999,0.5567,0.9073,0.9998,0.0596,0.1456,valid
56,153.189,left,0.9999,0.6829,0.9292,0.9999,0.1284,0.2544,valid
