frame_index,knee_angle_deg,visible_side_used,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,angle_status
0,175.4124,left,1.0,0.9626,0.9896,1.0,0.0941,0.4367,valid
1,173.5734,left,1.0,0.8638,0.962,0.9999,0.0258,0.1678,valid
2,174.1807,left,1.0,0.9569,0.9886,1.0,0.0766,0.4343,valid
3,174.4044,left,1.0,0.8814,0.9667,0.9999,0.0215,0.1687,valid
4,172.7525,left,1.0,0.8463,0.9529,0.9999,0.0178,0.1292,valid
5,174.3052,left,1.0,0.839,0.9618,0.9999,0.0217,0.1601,valid
6,174.8004,left,1.0,0.9664,0.9912,1.0,0.11,0.4925,valid
7,173.3103,left,1.0,0.9627,0.9905,1.0,0.0881,0.4268,valid
8,174.0748,left,1.0,0.9664,0.9915,1.0,0.1211,0.5041,valid
9,175.0205,left,1.0,0.9688,0.9917,1.0,0.1238,0.5523,valid
10,173.0693,left,1.0,0.9308,0.9859,1.0,0.049,0.3445,valid
11,173.3468,left,1.0,0.9759,0.9935,1.0,0.1398,0.5947,valid
12,174.5381,left,1.0,0.9739,0.9928,1.0,0.1186,0.527,valid
13,173.054,left,1.0,0.971,0.9927,1.0,0.1185,0.5367,valid
14,172.582,left,1.0,0.9763,0.994,1.0,0.1523,0.5917,valid
15,173.0238,left,1.0,0.9635,0.9915,1.0,0.0957,0.4856,valid
16,171.8709,left,1.0,0.9316,0.9774,1.0,0.0612,0.3292,valid
17,172.6736,left,1.0,0.9297,0.982,1.0,0.0564,0.3246,valid
18,173.2158,left,1.0,0.9217,0.9806,1.0,0.0541,0.3063,valid
19,173.2662,left,1.0,0.9402,0.9855,1.0,0.0616,0.3486,valid
20,172.7599,left,1.0,0.923,0.9793,1.0,0.0558,0.3004,valid
21,173.6487,left,1.0,0.9165,0.9806,1.0,0.049,0.2765,valid
22,172.4205,left,1.0,0.917,0.9798,1.0,0.046,0.2571,valid
23,172.4462,left,1.0,0.921,0.9805,1.0,0.0536,0.2892,valid
24,171.9547,left,1.0,0.9216,0.9825,1.0,0.0559,0.2875,valid
25,172.225,left,1.0,0.8824,0.9726,1.0,0.0328,0.1958,valid
26,172.6087,left,1.0,0.9271,0.9839,1.0,0.0549,0.3052,valid
27,171.5707,left,1.0,0.9564,0.9886,1.0,0.093,0.4109,valid
28,171.6375,left,1.0,0.9565,0.9847,1.0,0.1113,0.477,valid
29,171.3054,left,1.0,0.9127,0.9725,1.0,0.0541,0.2673,valid
30,170.5811,left,1.0,0.9467,0.9837,1.0,0.0983,0.4108,valid
31,169.2532,left,1.0,0.9499,0.9857,1.0,0.0691,0.3389,valid
32,169.5642,left,1.0,0.9392,0.9874,1.0,0.0978,0.4846,valid
33,172.2092,left,1.0,0.8261,0.9618,1.0,0.0534,0.2971,valid
34,171.6328,left,1.0,0.8373,0.9477,0.9999,0.058,0.2608,valid
35,171.5004,left,1.0,0.9038,0.9658,0.9999,0.101,0.3741,valid
36,,right,0.9999,0.2337,0.7453,0.9998,0.0068,0.0369,chain_incomplete
37,171.5074,left,0.9999,0.578,0.9386,0.9999,0.0221,0.0894,valid
38,,right,0.9999,0.2913,0.7921,0.9999,0.0072,0.0275,chain_incomplete
39,,right,0.9999,0.1563,0.5748,0.9998,0.0045,0.0137,chain_incomplete
40,,right,0.9999,0.158,0.5781,0.9998,0.0048,0.0149,chain_incomplete
41,,right,0.9999,0.289,0.7391,0.9998,0.0191,0.0488,chain_incomplete
42,168.8099,left,0.9999,0.5285,0.8863,0.9998,0.022,0.0806,valid
43,166.6949,left,0.9999,0.7234,0.9416,0.9998,0.042,0.1705,valid
44,164.8542,left,0.9998,0.6351,0.8974,0.9997,0.0246,0.0981,valid
45,,right,0.9998,0.479,0.8092,0.9996,0.0195,0.0811,chain_incomplete
46,167.794,left,0.9999,0.6763,0.8933,0.9998,0.0383,0.1575,valid
47,169.1702,left,0.9999,0.7343,0.9036,0.9998,0.0401,0.1645,valid
48,169.444,left,0.9999,0.7237,0.9068,0.9998,0.0449,0.1821,valid
49,166.0625,left,0.9999,0.6821,0.8799,0.9998,0.0343,0.1434,valid
50,166.1024,left,0.9999,0.6523,0.8672,0.9998,0.0309,0.1291,valid
51,168.8125,left,0.9999,0.6845,0.8806,0.9998,0.0334,0.142,valid
52,169.7318,left,0.9998,0.5527,0.7963,0.9997,0.0242,0.1018,valid
53,169.3282,left,0.9999,0.5897,0.8163,0.9998,0.0234,0.0976,valid
54,167.8464,left,0.9999,0.6273,0.8434,0.9998,0.0276,0.1142,valid
55,168.4898,left,0.9998,0.592,0.8248,0.9998,0.0204,0.0932,valid
56,164.7056,left,0.9999,0.801,0.9381,0.9998,0.0341,0.163,valid
57,163.0547,left,0.9999,0.6429,0.8654,0.9998,0.0222,0.1115,valid
58,161.3019,left,0.9999,0.6966,0.8879,0.9999,0.0192,0.107,valid
59,161.1678,left,0.9999,0.7375,0.9205,0.9998,0.025,0.1242,valid
60,159.0556,left,0.9999,0.7657,0.9332,0.9998,0.0287,0.1533,valid
61,154.5323,left,0.9999,0.6986,0.9181,0.9998,0.0249,0.1395,valid
62,153.9193,left,0.9999,0.5777,0.8526,0.9998,0.021,0.1052,valid
63,153.2,left,0.9999,0.6511,0.9008,0.9997,0.0178,0.1113,valid
64,150.4444,left,0.9998,0.7093,0.922,0.9997,0.0244,0.1456,valid
65,147.4151,left,0.9998,0.7721,0.9432,0.9997,0.0333,0.1758,valid
66,150.3013,left,0.9998,0.793,0.9512,0.9995,0.0275,0.1518,valid
67,148.952,left,0.9998,0.6409,0.8947,0.9996,0.0179,0.0922,valid
68,147.1862,left,0.9998,0.7412,0.9324,0.9997,0.0256,0.1242,valid
69,148.3235,left,0.9998,0.7957,0.9526,0.9997,0.0303,0.1621,valid
70,148.4118,left,0.9998,0.7965,0.9544,0.9997,0.0319,0.1693,valid
71,148.0355,left,0.9998,0.7669,0.9453,0.9997,0.0291,0.1562,valid
72,145.7329,left,0.9998,0.7656,0.9486,0.9997,0.0263,0.1377,valid
73,144.7262,left,0.9998,0.7507,0.9391,0.9996,0.0292,0.1532,valid
74,143.5087,left,0.9998,0.7587,0.944,0.9996,0.0297,0.1499,valid
75,141.3188,left,0.9998,0.7521,0.9419,0.9997,0.0331,0.1576,valid
76,140.8283,left,0.9998,0.7199,0.9288,0.9997,0.025,0.1172,valid
77,141.144,left,0.9998,0.78,0.9511,0.9997,0.0332,0.1562,valid
78,141.4133,left,0.9998,0.7805,0.9525,0.9997,0.0322,0.1552,valid
79,139.0182,left,0.9997,0.7963,0.9628,0.9995,0.034,0.1827,valid
80,140.2269,left,0.9998,0.8342,0.9686,0.9997,0.0487,0.2299,valid
81,138.9703,left,0.9999,0.8325,0.9644,0.9998,0.0465,0.2146,valid
82,139.4214,left,0.9998,0.8017,0.9597,0.9996,0.0383,0.1778,valid
83,137.226,left,0.9998,0.8088,0.9649,0.9997,0.0467,0.2214,valid
84,134.4741,left,0.9998,0.7561,0.9525,0.9997,0.0378,0.185,valid
85,132.3987,left,0.9998,0.8117,0.9651,0.9997,0.0452,0.2137,valid
86,131.2345,left,0.9998,0.7801,0.9591,0.9997,0.041,0.1811,valid
87,128.7904,left,0.9998,0.773,0.9585,0.9997,0.0434,0.202,valid
88,126.9081,left,0.9998,0.7442,0.9525,0.9996,0.0383,0.1847,valid
89,126.7137,left,0.9998,0.7426,0.9481,0.9998,0.0417,0.1768,valid
90,121.8541,left,0.9999,0.8511,0.9737,0.9998,0.0596,0.2583,valid
91,122.5781,left,0.9999,0.8466,0.972,0.9998,0.0557,0.2309,valid
92,117.2435,left,0.9998,0.7484,0.9407,0.9998,0.0432,0.1764,valid
93,115.383,left,0.9998,0.7511,0.9375,0.9997,0.0361,0.141,valid
94,113.8762,left,0.9999,0.792,0.951,0.9998,0.0498,0.1817,valid
95,111.3473,left,0.9998,0.7874,0.9451,0.9997,0.045,0.1551,valid
96,108.8288,left,0.9999,0.8596,0.9591,0.9998,0.0638,0.1895,valid
