frame_index,knee_angle_deg,visible_side_used,left_hip_visibility,left_knee_visibility,left_ankle_visibility,right_hip_visibility,right_knee_visibility,right_ankle_visibility,angle_status
0,179.55,left,1.0,0.9195,0.9792,1.0,0.0671,0.3198,valid
1,179.035,left,1.0,0.9302,0.985,1.0,0.0646,0.3513,valid
2,175.7243,left,1.0,0.878,0.9775,1.0,0.0463,0.2746,valid
3,179.273,left,1.0,0.83,0.962,1.0,0.0435,0.2197,valid
4,179.4145,left,1.0,0.7571,0.9406,1.0,0.0366,0.1833,valid
5,178.9626,left,1.0,0.871,0.9689,1.0,0.0641,0.2829,valid
6,178.1238,left,1.0,0.8606,0.9655,1.0,0.0354,0.2252,valid
7,179.6436,left,1.0,0.8887,0.9741,1.0,0.0532,0.2938,valid
8,178.4122,left,1.0,0.8289,0.9667,1.0,0.0529,0.2859,valid
9,178.857,left,1.0,0.9083,0.9804,1.0,0.0812,0.3675,valid
10,176.859,left,1.0,0.7576,0.9521,1.0,0.0467,0.2763,valid
11,179.9275,left,1.0,0.7976,0.9537,1.0,0.0493,0.2461,valid
12,178.5944,left,1.0,0.8583,0.97,1.0,0.0548,0.2867,valid
13,177.8011,left,0.9999,0.7189,0.937,0.9999,0.0402,0.2072,valid
14,175.6223,left,0.9999,0.5922,0.8881,0.9999,0.0269,0.135,valid
15,177.4519,left,0.9999,0.6759,0.9278,0.9999,0.0297,0.1577,valid
16,177.1241,left,1.0,0.8295,0.9658,1.0,0.0472,0.2485,valid
17,179.5663,left,0.9999,0.7103,0.9351,0.9999,0.0422,0.2114,valid
18,178.2688,left,1.0,0.8525,0.9618,1.0,0.0355,0.2353,valid
19,177.9126,left,1.0,0.9369,0.9841,1.0,0.0583,0.3938,valid
20,177.4924,left,1.0,0.8886,0.9737,1.0,0.0532,0.2993,valid
21,177.4595,left,1.0,0.8178,0.9528,1.0,0.0429,0.2512,valid
22,178.0141,left,1.0,0.8289,0.954,1.0,0.0377,0.2346,valid
23,177.7595,left,1.0,0.8558,0.9605,1.0,0.0394,0.2397,valid
24,178.2067,left,1.0,0.8639,0.969,1.0,0.0534,0.3492,valid
25,178.6126,left,0.9999,0.6236,0.904,0.9999,0.0326,0.1847,valid
26,176.9528,left,1.0,0.8478,0.9638,1.0,0.0466,0.2709,valid
27,178.8568,left,1.0,0.8428,0.9627,1.0,0.0594,0.3056,valid
28,178.311,left,1.0,0.8566,0.963,1.0,0.0594,0.2936,valid
29,178.6196,left,1.0,0.8261,0.961,1.0,0.0452,0.2738,valid
30,178.5761,left,1.0,0.8506,0.9628,1.0,0.0644,0.3007,valid
31,178.0953,left,1.0,0.9434,0.9847,1.0,0.0605,0.3311,valid
32,177.1044,left,1.0,0.8685,0.9582,1.0,0.0552,0.2565,valid
33,177.958,left,1.0,0.8805,0.9607,1.0,0.0301,0.195,valid
34,177.7598,left,1.0,0.9437,0.9828,1.0,0.0562,0.3062,valid
35,177.4221,left,1.0,0.9212,0.9765,1.0,0.0397,0.2301,valid
36,176.809,left,1.0,0.8359,0.9464,1.0,0.047,0.2725,valid
37,176.0127,left,1.0,0.8648,0.9576,1.0,0.0541,0.2831,valid
38,177.5164,left,1.0,0.8545,0.9561,1.0,0.0677,0.3579,valid
39,176.6901,left,1.0,0.8912,0.9713,1.0,0.0739,0.379,valid
40,176.5847,left,1.0,0.9339,0.9812,1.0,0.0877,0.4223,valid
41,176.806,left,1.0,0.8934,0.9696,1.0,0.0716,0.3615,valid
42,177.137,left,1.0,0.8441,0.9492,1.0,0.0363,0.2189,valid
43,178.1222,left,1.0,0.8303,0.9468,1.0,0.0487,0.2763,valid
44,174.9489,left,0.9999,0.7307,0.9047,0.9999,0.0538,0.2503,valid
45,177.7159,left,1.0,0.808,0.8787,1.0,0.1002,0.223,valid
46,,right,0.9999,0.4288,0.6533,0.9999,0.035,0.1363,chain_incomplete
47,,right,0.9999,0.3699,0.5996,1.0,0.0272,0.1086,chain_incomplete
48,,right,0.9999,0.4833,0.6978,0.9999,0.0402,0.1567,chain_incomplete
49,,right,0.9997,0.3105,0.4957,0.9996,0.0287,0.1133,chain_incomplete
50,164.5521,left,0.9999,0.5405,0.6309,0.9999,0.0557,0.1747,valid
51,,right,0.9999,0.171,0.2361,0.9999,0.0078,0.0272,chain_incomplete
52,,right,0.9997,0.1389,0.2611,0.9997,0.0026,0.0136,chain_incomplete
53,,right,0.9999,0.1767,0.4338,0.9999,0.0081,0.0326,chain_incomplete
54,,right,0.9998,0.1522,0.2787,0.9999,0.0033,0.0161,chain_incomplete
55,,right,0.9999,0.4518,0.5756,1.0,0.0157,0.0612,chain_incomplete
56,,right,0.9999,0.1746,0.3483,0.9999,0.0085,0.0291,chain_incomplete
57,,right,0.9999,0.1452,0.3361,0.9999,0.0088,0.0286,chain_incomplete
58,,right,0.9999,0.1542,0.3114,1.0,0.0173,0.0546,chain_incomplete
59,,right,0.9999,0.1438,0.3058,0.9999,0.0086,0.0318,chain_incomplete
60,,right,0.9999,0.3216,0.5799,0.9999,0.0271,0.093,chain_incomplete
61,,right,1.0,0.3479,0.6552,0.9999,0.0168,0.0924,chain_incomplete
62,173.3821,left,0.9999,0.613,0.8276,0.9999,0.0265,0.0959,valid
63,174.2948,left,0.9999,0.6465,0.8263,0.9999,0.0316,0.1118,valid
64,,right,0.9999,0.2414,0.3897,0.9999,0.0087,0.0338,chain_incomplete
65,,right,0.9999,0.2761,0.5136,0.9999,0.0109,0.0559,chain_incomplete
66,,right,0.9999,0.2992,0.4752,0.9999,0.0133,0.0557,chain_incomplete
67,,right,0.9998,0.4536,0.7968,0.9998,0.0122,0.088,chain_incomplete
68,177.6133,left,0.9999,0.5063,0.829,0.9999,0.0144,0.0852,valid
69,177.3888,left,0.9999,0.6765,0.9091,0.9999,0.0209,0.1328,valid
70,,right,0.9999,0.4551,0.7936,0.9999,0.0103,0.0685,chain_incomplete
71,,right,0.9999,0.394,0.666,0.9999,0.0128,0.0791,chain_incomplete
72,,right,0.9998,0.2902,0.4874,0.9998,0.0113,0.0495,chain_incomplete
73,,right,0.9998,0.4181,0.6577,0.9999,0.0228,0.0995,chain_incomplete
74,,right,0.9999,0.3574,0.4959,0.9999,0.0193,0.0697,chain_incomplete
75,,right,0.9999,0.3392,0.5333,0.9999,0.017,0.0768,chain_incomplete
76,,right,0.9999,0.3145,0.4325,1.0,0.0264,0.1058,chain_incomplete
77,,right,0.9999,0.3436,0.5172,0.9999,0.0149,0.0754,chain_incomplete
78,170.5052,left,0.9998,0.5466,0.8526,0.9998,0.0139,0.1126,valid
79,,right,0.9998,0.4069,0.7134,0.9999,0.0136,0.0931,chain_incomplete
80,,right,0.9999,0.3071,0.6196,0.9999,0.0129,0.0844,chain_incomplete
81,166.2399,left,0.9999,0.5334,0.8136,0.9999,0.0178,0.1106,valid
82,167.8353,left,0.9998,0.7089,0.9173,0.9998,0.0352,0.1689,valid
83,166.0296,left,0.9999,0.7015,0.8973,0.9999,0.0263,0.1383,valid
84,163.9987,left,0.9999,0.5361,0.8114,0.9999,0.0189,0.1138,valid
85,164.4528,left,0.9998,0.7859,0.9334,0.9998,0.0574,0.1998,valid
86,161.6034,left,0.9998,0.7016,0.9112,0.9998,0.0291,0.1202,valid
87,158.1954,left,0.9997,0.668,0.9188,0.9997,0.0383,0.1548,valid
88,155.0359,left,0.9998,0.6918,0.9328,0.9998,0.0596,0.2559,valid
89,149.442,left,0.9998,0.5449,0.8635,0.9998,0.0375,0.1432,valid
90,,right,0.9996,0.4694,0.8275,0.9996,0.0229,0.1084,chain_incomplete
91,140.8841,left,0.9995,0.5121,0.8602,0.9995,0.0162,0.0873,valid
92,,right,0.9996,0.4992,0.866,0.9996,0.0218,0.1002,chain_incomplete
93,127.0748,left,0.9999,0.8702,0.9747,0.9999,0.0476,0.1806,valid
94,127.0988,left,0.9999,0.8701,0.9774,0.9999,0.0503,0.2204,valid
95,123.1049,left,0.9999,0.9206,0.9849,0.9999,0.082,0.2971,valid
96,116.0977,left,0.9999,0.8071,0.9589,0.9999,0.0675,0.2821,valid
97,112.7196,left,0.9997,0.7524,0.9323,0.9997,0.0653,0.2419,valid
98,107.7132,left,0.9998,0.7775,0.9357,0.9998,0.067,0.2368,valid
99,102.5663,left,0.9998,0.7633,0.9383,0.9998,0.0852,0.3029,valid
100,98.7026,left,0.9998,0.86,0.96,0.9999,0.1256,0.3659,valid
101,96.5855,left,0.9998,0.9365,0.9774,0.9998,0.1544,0.3965,valid
102,91.7056,left,0.9998,0.9493,0.9841,0.9998,0.183,0.4337,valid
103,86.7693,left,0.9998,0.9626,0.9873,0.9998,0.2178,0.4766,valid
104,81.8239,left,0.9999,0.9653,0.9859,0.9999,0.1971,0.407,valid
105,79.1373,left,0.9999,0.9686,0.9861,0.9999,0.262,0.4832,valid
106,76.7186,left,1.0,0.9857,0.996,1.0,0.406,0.666,valid
107,74.7058,left,0.9999,0.971,0.9903,0.9999,0.2764,0.4873,valid
108,71.4579,left,0.9999,0.9714,0.9893,0.9999,0.2905,0.5006,valid
109,68.5811,left,0.9999,0.9749,0.9897,0.9999,0.323,0.5318,valid
110,65.9248,left,0.9999,0.981,0.9915,0.9999,0.3568,0.5744,valid
111,66.9393,left,0.9999,0.987,0.9945,0.9999,0.3634,0.6044,valid
112,66.5274,left,0.9999,0.9923,0.9973,0.9999,0.5738,0.7833,valid
113,64.4726,left,0.9999,0.9934,0.9974,0.9999,0.5713,0.7835,valid
114,63.9792,left,0.9999,0.9947,0.9976,1.0,0.6085,0.8058,valid
