frame_index_global,frame_index_in_rep,knee_angle_deg,knee_angle_median,knee_angle_smoothed,angle_status
251,0,171.0391,171.0391,170.9461,valid
252,1,171.797,170.2125,170.3965,valid
253,2,169.1628,169.3859,169.6283,valid
254,3,169.3859,169.1628,168.6415,valid
255,4,167.773,167.773,167.8387,valid
256,5,165.1069,165.1069,166.2592,valid
257,6,164.7503,164.7503,162.7538,valid
258,7,158.6999,158.6999,158.6963,valid
259,8,152.1309,152.1309,153.9771,valid
260,9,149.8242,149.8242,148.985,valid
261,10,144.4057,144.4057,144.1749,valid
262,11,139.8981,139.8981,139.1409,valid
263,12,132.7986,132.7986,134.1719,valid
264,13,129.4446,129.4446,129.526,valid
265,14,127.0496,127.0496,125.8699,valid
266,15,121.377,121.377,122.7783,valid
267,16,120.0843,120.0843,118.8086,valid
268,17,114.9308,114.9308,115.0269,valid
269,18,110.8135,110.8135,112.3926,valid
270,19,109.0778,109.0778,108.3442,valid
271,20,105.8014,105.8014,103.7444,valid
272,21,97.2025,97.2025,98.5599,valid
273,22,92.1184,92.1184,93.1126,valid
274,23,89.2971,89.2971,88.6592,valid
275,24,85.8384,85.8384,85.5972,valid
276,25,82.6127,82.6127,82.5501,valid
277,26,79.4103,79.4103,79.8137,valid
278,27,77.4835,77.4835,77.5238,valid
279,28,76.1673,76.1673,75.995,valid
280,29,73.8922,73.8922,73.9927,valid
281,30,72.8439,72.8439,71.8506,valid
282,31,68.534,68.534,69.7317,valid
283,32,67.0918,68.3492,68.1848,valid
284,33,68.3492,67.0918,67.1433,valid
285,34,66.5737,66.5737,66.5209,valid
286,35,65.3939,65.3939,64.7644,valid
287,36,59.936,62.6338,62.6967,valid
288,37,62.6338,59.936,60.3897,valid
289,38,58.6677,58.6677,58.6301,valid
290,39,57.6,57.6629,57.9843,valid
291,40,57.4744,57.6,57.4326,valid
292,41,57.6629,57.4744,56.6729,valid
293,42,53.7616,55.2695,55.8946,valid
294,43,55.2695,54.9399,55.1428,valid
295,44,54.0402,54.9399,54.7011,valid
296,45,54.9399,54.9399,54.8189,valid
297,46,55.4068,54.9399,54.9902,valid
298,47,53.7578,55.4068,55.6286,valid
299,48,56.5811,56.5811,56.7122,valid
300,49,58.2744,58.2744,57.8962,valid
301,50,59.268,59.268,58.7545,valid
302,51,59.9714,59.9714,60.5829,valid
303,52,61.7245,61.7245,62.9909,valid
304,53,67.305,67.305,65.4482,valid
305,54,68.5447,68.5447,68.3913,valid
306,55,69.9053,69.9053,71.4161,valid
307,56,74.7165,74.7165,74.0989,valid
308,57,78.1187,78.1187,77.3125,valid
309,58,80.9941,80.9941,81.6445,valid
310,59,84.544,84.544,85.1807,valid
311,60,91.8955,91.8955,89.8647,valid
312,61,94.2133,94.2133,96.341,valid
313,62,103.9568,103.9568,104.4689,valid
314,63,113.6349,113.6349,112.4232,valid
315,64,121.9969,121.9969,120.8628,valid
316,65,126.7649,126.7649,127.9823,valid
317,66,134.711,134.711,134.9546,valid
318,67,142.918,142.918,142.5322,valid
319,68,150.8591,150.8591,151.5591,valid
320,69,159.1631,159.1631,159.3845,valid
321,70,167.2307,167.2307,165.5955,valid
322,71,169.0269,169.0269,169.4834,valid
323,72,171.7811,171.0096,171.0377,valid
324,73,171.0096,171.0096,171.0353,valid
325,74,171.2686,171.1391,171.2377,valid
326,75,170.8737,171.1391,171.4171,valid
327,76,,,,chain_incomplete
328,77,172.1452,173.1166,172.8476,valid
329,78,174.1758,174.0879,173.609,valid
330,79,174.0879,174.0879,174.4706,valid
